pair_id	gloss	pan	pkd	pt	pat	chinese_flag	notes	branch_attestation_count	attested_branches
026_deep	deep	*daləm	*C-alək	*lɤkᴰ		N		5	PT,PH,POB,PK,PKS
027_die	die	*(m/p-)aCay	*p-ataːy	*p.taːjᴬ	*m/p-aʈaːy	N		6	PT,PH,POB,PK,PKS,LAK
029_drop_fall	drop; fall	*-tuq	*tok	*tokᴰ	*-tok	N		4	PT,PH,PK,PKS
030_duck	duck	(PMP *ŋaRaq)	*CV-bit	*pitᴰ		N		4	PT,PH,POB,PK
031_eat	eat	*ka(ʔ)ən	*(i-)kan	*kɯɲᴬ	*kan	N		6	PT,PH,POB,PK,PKS,LAK
032_eight	eight	*walu	*C[lab]ɭuː	(*peːtᴰ)	*waɭuː	N		4	PT,PH,PK,LAK
033_excrement	excrement	*Caqi; (PMP *taqay)	*CV-q[i/aːj]	*C̬.qɯjꟲ	*ʈaq[iː/aːy]	N		6	PT,PH,POB,PK,PKS,LAK
034_eye	eye	*maCa	*m[a/ə]ʈaː	*p.taːᴬ	*maʈaː	N		6	PT,PH,POB,PK,PKS,LAK
035_fart	fart	*qətut	*k[a/ə]tu2t	*k.tɤtᴰ	*qətu2t	N		6	PT,PH,POB,PK,PKS,LAK
036_fingernail	fingernail	*kuSkuS	*CV-lep	*C̬.lepᴰ		N		6	PT,PH,POB,PK,PKS,LAK
037_fire	fire	*Sapuy	*apuy	*wɤjᴬ	*Sapuy	N		6	PT,PH,POB,PK,PKS,LAK
038_five	five	*lima	*ɭVmaː	*haːꟲ	*ɭimaː	N		4	PT,PH,PK,LAK
040_flow	flow	*qaluR; *qaNud; (PMP *qaRus; *qaliR; *saliR)	C̥V-luy	*ʰlajᴬ		P	Possible Chinese source	6	PT,PH,POB,PK,PKS,LAK
041_foot1	foot1	*[w/q]aqay	*tiːn	*tiːnᴬ		N		6	PT,PH,POB,PK,PKS,LAK
042_foot2	foot2	*[w/q]aqay	*kok	(*tiːnᴬ)		N		6	PT,PH,POB,PK,PKS,LAK
044_fruit	fruit	*buaq	*CV-maːk	*ʰmaːkᴰ		N		5	PT,PH,POB,PK,LAK
045_full	full	*pəNuq	*C[lab]V-tiːk	(*k.temᴬ)		N		6	PT,PH,POB,PK,PKS,LAK
046_hand	hand	*qalima	*C-iməː	*mwɯːᴬ	*ɭiməː	N		6	PT,PH,POB,PK,PKS,LAK
048_head	head	*quluh	*kuɭuː	*krawꟲ	*quɭuh	N		6	PT,PH,POB,PK,PKS,LAK
049_hold_grab	hold; grab	*-[g/k]əm	*N-kamᴬ	*kamᴬ	*gəmgəm; *kəmkəm	N		3	PT,PKS,LAK
050_hole	hole	*buhaŋ; *kalih; *lubaŋ (burial pit)	*ɟoːŋ	*ɟoːŋᴮ		N		3	PT,PH,POB
055_leaf	leaf	*waSaw	*bəː	*ɓaɯ̯ᴬ		N		6	PT,PH,POB,PK,PKS,LAK
059_lick	lick	*dilaq	*liːm	(*C̬.lwiəᴬ)		N		4	PT,PH,POB,PK
060_liver	liver	*qaCay	*tap	*tapᴰ		N		6	PT,PH,POB,PK,PKS,LAK
061_loom_weave	loom; weave	*qatip (part of loom); t[i/ə]nun (weave)	*uʈəːk	*trukᴰ		Y	Possible Chinese source	5	PT,PH,POB,PKS,LAK
062_louse	louse	*kuCu	*C-uʈuː	*trawᴬ	*kuCuː	N		5	PT,PH,POB,PK,PKS
064_moon	moon	*bulaN	*buɭaːl	*ɓlɯənᴬ	*buɭaːl	N		6	PT,PH,POB,PK,PKS,LAK
065_mushroom	mushroom	*kulaC (bracket fungus); *bajiw; *quSuŋ	*C-uret	*ʰrwetᴰ		N		6	PT,PH,POB,PK,PKS,LAK
066_navel	navel	*puja	*C[lab]udəː	*ɗwɯːᴬ	*pujəː	N		6	PT,PH,POB,PK,PKS,LAK
068_new	new	*baqəRuh	*C̥-maːl	*ʰmɤːlᴮ		N		6	PT,PH,POB,PK,PKS,LAK
069_nine	nine	*siwa	(*s(i)waː)	*kɤwꟲ	*siwaː	N		4	PT,PH,PK,LAK
070_nose	nose	*ujuŋ	*(ŋ)-V[+H]daŋ	*ɗaŋᴬ	*ujaŋ	N		6	PT,PH,POB,PK,PKS,LAK
071_one	one	*isa	(*icəː)	*nɯːŋᴮ		N		5	PT,PH,PK,PKS,LAK
073_outside_go_outside	outside; (go outside)	*NataD	*oːk	*ʔoːkᴰ		N		3	PT,POB,PKS
076_pig	pig	*babuy; *bəRək	*xVmuː	*ʰmuːᴬ		N		6	PT,PH,POB,PK,PKS,LAK
078_rain	rain	*quzaN; *salaw	*CV-pu1n	*C̥.wɯnᴬ		N		6	PT,PH,POB,PK,PKS,LAK
081_road	road	*zalan	*c-ugu2n	*ʰrwɤnᴬ		N		6	PT,PH,POB,PK,PKS,LAK
082_scale_skin	scale; skin	*qaNiC	*kalec	*klecᴰ	*qaleʈ	N		3	PT,POB,PKS
083_seed	seed	*binəSiq; *Rahap	*ipan			N		5	PH,POB,PK,PKS,LAK
084_seven	seven	*pitu	*CV-tuː	*cetᴰ	*pituː	N		4	PT,PH,PK,LAK
087_shoulder	shoulder	*qabaRa	*CV-baː	*C̥.baːᴮ	*qabara()	N		5	PT,PH,POB,PK,PKS
090_six	six	*(x)ənəm	*xən[a/ə]m		*xən[a/ə]m	N		2	PH,PK
091_skin	skin	*kuliC	*CV-nəŋ	*ʰnaŋᴬ		N		4	PT,PH,POB,PKS
093_sky	sky	*Rabun	*C-bu1n	*ɓɯnᴬ	*Rabu1n	N		5	PT,PH,POB,PKS,LAK
094_snot	snot	*ŋuSuR	*muːk	*muːkᴰ		N		3	PT,POB,PKS
096_stand	stand	*diRi	*CV-ɟuːn	*C̥.ɟɯːnᴬ		N		5	PT,PH,POB,PKS,LAK
098_steal	steal	*Cakaw	*C̬ilakᴰ	*C̬.lakᴰ		N		6	PT,PH,POB,PK,PKS,LAK
100_stone	stone	*batu	*ʈiːl	*triːlᴬ		N		5	PT,PH,POB,PKS,LAK
101_sweet	sweet	(PMP *həmis)	*CV-waːl	*C̥.waːlᴬ		N		6	PT,PH,POB,PK,PKS,LAK
102_tail	tail	*(k)ikuR	*CV-cu1t	(*trwɤːŋᴬ)		N		6	PT,PH,POB,PK,PKS,LAK
104_this	this	*-ni	*niː	*najꟲ	*niː	N		6	PT,PH,POB,PK,PKS,LAK
105_three	three	*təlu	*utuː	*saːm		N		4	PT,PH,PK,LAK
107_to_fly	to fly	*layap	*CV-pil	*ɓilᴬ		P	Possible Chinese source	5	PT,PH,POB,PKS,LAK
109_tongue2	tongue2	*Səma	*Səmaːᴬ	*liːnꟲ	*Səmaː	N		6	PT,PH,POB,PK,PKS,LAK
110_tooth	tooth	*[l/n/ŋ]ipan	*(l)ipan	*wanᴬ	*(ɭ)ipan	N		6	PT,PH,POB,PK,PKS,LAK
111_transplant_plant	transplant; plant	*CaNəm	*tVl(j)am	*t.namᴬ	*ʈalam	N		4	PT,POB,PK,PKS
113_two	two	*duSa	*Vsaː	*soːŋᴬ	*duSaː	N		5	PT,PH,PK,PKS,LAK
114_village	village	*asaŋ; *taNaS	*baːn	*ɓaːnꟲ		N		6	PT,PH,POB,PK,PKS,LAK
115_vomit	vomit	*utaq	*utaːk	*rwɯəkᴰ	*utaːq	N		6	PT,PH,POB,PK,PKS,LAK
116_wash	wash	*basəq	*C-sak	*zakᴰ	*basəq	P	Possible Chinese source. Could be that some of the KD words have a chinese source, while others do not. The z : s : ɗ : r : ʔl : w correspondences are odd.	6	PT,PH,POB,PK,PKS,LAK
117_water	water	*daNum	*danam	*C̬.namꟲ	*da[l/n]am	N		6	PT,PH,POB,PK,PKS,LAK
118_wing	wing	*paNi[d/j]	*CV-piːk	*piːkᴰ		N		6	PT,PH,POB,PK,PKS,LAK
120_younger_siblings	younger siblings	*Suaji	*naɭoːŋ	*nwoːŋꟲ		N		5	PT,PH,POB,PKS,LAK
