pair_id,gloss,pkd,branch_attestation_count,attested_branches,lexibank_concept_id,lexibank_concept_name,lexibank_concepticon_gloss,lexibank_tai_kadai_language_count,lexibank_austronesian_language_count,lexibank_sample_forms,low_branch_attestation,low_lexibank_attestation,coverage_gap,unjustified_pkd,unjustified_pan,included_in_permutation_test,attestation_score,attestation_score_reasoning,pan_attestation_score,pan_attestation_score_reasoning,cherry_pick_risk
011_blow,blow,*h-ju(1/2)p,5,"PT,POB,PK,PKS,LAK",blowofwind,BLOW (OF WIND),BLOW (OF WIND),27,869,Central Thai:paw.² | Central Thai:pliw.¹ | Thai (Dialect Korat):pau | Thai:phát | Thai:pʰ.a.t,0,0,0,0,0,1,2,"The Tai branch overwhelmingly reflects forms with open syllables (paw/pau) and no -p final, matching PT *powᴮ, not PKD *-p. Only some Kam-Sui and peripheral Kra forms marginally fit PKD, but the major Tai cluster argues strongly against *h-ju(1/2)p for 'blow.' Support is scattered, and most high-frequency forms contradict the PKD shape.",5,"PAN *səyup is robustly supported by clear reflexes in multiple Formosan languages (often prefixed by mi-), as well as in Western Malayo-Polynesian branches with expected shape adjustments. Many SHWNG and some Oceanic (e.g., 'wup', 'iuvuv', 'miyuŋ') show related forms, though innovation and semantic drift in Oceanic and some outliers are expected. Irregular and innovative forms exist (especially in Oceanic and isolated Formosan branches), but systematic support across major clades merits a top score.",1
012_boat,boat,*C̬udaː,5,"PT,PH,PK,PKS,LAK",boat,BOAT,BOAT,56,9,Sandong:lwa¹ | Zhonghe:lwa¹ | Tangzhou:lo¹ | Tingpai:lua¹ | Antang:luə¹,0,0,0,0,1,0,5,"Virtually all Tai and Zhuang forms have an initial liquid or cluster (r/l/lw/lua) plus a central vowel, matching both PKD *C̬udaː and PT *C̬.rwɯəᴬ. The match is systematic across languages, and exceptions are marginal. The reconstructed form is robustly supported by the attested data.",1,"None of the attested forms from Oceanic or Malagasy align with the proposed *luja root. Instead, they reflect other etyma such as *waka/vaka, *moku, *poti, or possibly borrowings (*sambo from Malay/Indonesian). There is no evidence for *luja as 'boat' in any sampled language, so this proto-form lacks support in the current sample.",1
013_body_hair,body hair,*qupu1l,6,"PT,PH,POB,PK,PKS,LAK",hair,HAIR,HAIR,14,878,Thai (Dialect Korat):phom | Thai:pʰ.o.m | Nùng Dín:khɔ̆n323_thu323 | Xifang Hlai:rom1 | Baisha Hlai:ɱən4,0,0,0,0,0,1,2,"While some Tai and Hlai forms have vague phonetic resemblance to *qupu1l (p-/m-/n-/t- + -om or -an), many others, especially in Hlai and La Chí, display very different structures (ɗan-, ɱən-, kha/kho-). There is no clear cross-branch support for a root like *qupu1l, so the attestation is weak overall.",5,"The PAN form *bulu is robustly supported by regular reflexes in Formosan and Western MP, the two most important clades for deep Austronesian comparison. Oceanic forms also largely reflect the same root, though with typical phonological changes. SHWNG shows some forms that do not fit, but this is a common pattern for this group and does not counterbalance the extensive support elsewhere. Overall, this is a classic case of a well-attested PAN root maintaining stability across major subgroups.",1
014_borrow,borrow,*Səzəːm,4,"PT,POB,PKS,LAK",borrow,BORROW,BORROW,40,5,Sandong:ʔjaːm¹ | Zhonghe:ʔjaːm¹ | Tangzhou:ʔjaːm¹ | Tingpai:ʔiam¹ | Antang:ʔdi⁵,0,0,0,0,1,0,4,"There is strong support across Tai, Zhuang, Sui, Mulam, and Kam for an etymon *jam/*jəm/*jɨm 'borrow,' matching PT *ˀjɯːmᴬ and reasonably compatible with *Səzəːm if the initial cluster reduced. However, diversity outside this core (notably in Hlai, Buyang, Kelao, Nung) prevents a perfect score, as the PKD etymon may not underlie all these forms.",1,"Only one sampled form, Malagasy ""misàmbotra,"" is remotely similar in shape to the proposed *Səzam, and it might not even be cognate. The Oceanic forms for 'borrow' are all unrelated and show no resemblance to the proto-form, likely due to replacement or semantic innovations. The evidence is thus extremely sparse and does not provide meaningful support for *Səzam as a widely retained Austronesian root.",1
015_buy_sell,buy/sell,*aɭiːw,6,"PT,PH,POB,PK,PKS,LAK",buy,BUY,BUY,59,608,Sandong:ⁿdjai³ | Zhonghe:ⁿdjai³ | Tangzhou:ⁿdjəi³ | Tingpai:ⁿdjai³ | Antang:ⁿdjai³,0,0,0,1,0,0,1,"The overwhelming majority of attested forms across all major branches have initial s-, ɕ-, or dj-/tj-, with vowels incompatible with *aɭiːw, and match the Proto-Tai *p.qaːj hypothesis instead. No attested forms clearly or regularly reflect a *aɭiːw shape. If anything, the data points toward a *taj or *daj proto-form, and the proposed reconstruction is contradicted by the mass of reflexes.",4,"The reconstructed *saliw is supported by reflexes in Formosan (Saisiyat, Bunun) and Western Malayo-Polynesian (Iban, Hanunoo, Nias), as well as in many Oceanic languages (Yabem, Tirax, S. Sungagage). The form is also echoed in SHWNG (Ambai, Windesi Windamen, Biga). However, significant etymological diversity exists: other well-attested forms cluster on shapes like palit, beli, gumatang, and walaŋay. While *saliw has support in all major early branches, it is clearly only one of multiple competing roots for 'buy/sell', so it cannot be scored as having the strongest possible support (5) but is nonetheless well-stratified (4).",1
016_carry_on_a_pole,carry on a pole,*ʈaːp,3,"PH,POB,PKS",carry,CARRY,CARRY,45,15,Luzhai Sipai:jaːm̥⁵⁴ʔ | Luzhai Luzhai:jaːm̥⁵⁴ʔ | Xiangzhou Dale:ɣɛːm̥⁵⁴ʔ | Xiangzhou Yunjiang:ʝaːm̥⁵⁴ʔ | Wuxuan Huangmao:ɣaːm⁵³,0,0,0,0,0,1,4,"A very widespread set of forms across Kam-Sui, Nung, Zhuang, and neighboring branches strongly matches *taːp or *taːi, indicating a well-supported etymon consistent with the proposed proto-form. However, many SW Tai languages and a few others have quite different roots, which may indicate replacements or borrowing, preventing the score from reaching a full 5.",2,"The sampled forms show little direct lexical continuity with *pasaqaN, except very tenuous resemblance in a few Polynesian forms (Tuamotuan amo, Tongan toʔo), which likely do not continue *pasaqaN but another root for 'carry, lift, take'. Formosan Seediq (mapa) is the closest, but is phonetically reduced. The Oceanic data overwhelmingly point to replacements, suggesting that *pasaqaN is not well-preserved across the family. Therefore, the support is weak (score 2).",1
017_centipede,centipede,*CV-rip,4,"PT,PH,POB,PKS",centipede,CENTIPEDE,CENTIPEDE,41,82,Sandong:ȶi³ kʰup⁷ | Zhonghe:tu³ kʰup⁷ | Tangzhou:tə³ kʰup⁷ | Tingpai:to² kʰup⁷ | Antang:tu³ kʰup⁷,0,0,0,0,1,0,2,"Most attested forms in Tai and Kam-Sui branches for 'centipede' derive from a root like ta-, tu-, or tak- plus a second element khup/kha:p/xɛp. Only Hlai and Buyang have forms reminiscent of *rip or *sip, aligning with the PKD form. However, overwhelmingly the Tai and Kam-Sui strata point to a different root, casting doubt on *CV-rip as the primary ancestral form for the whole family.",1,"The reconstructed PAN form *qalu-Sipan finds no convincing support in the sampled data. There are no matches or systematic similarities to the proposed root, and all the Oceanic forms show diverse, unrelated roots, as does the lone Western MP form. The score is 1, as the reconstruction is not supported by any sampled forms and the basic etymon is not traceable in these data.",1
018_chaff_bran,chaff; bran,*CVpəː,6,"PT,PH,POB,PK,PKS,LAK",chaffhusk,CHAFF (HUSK),CHAFF (HUSK),16,0,Sandong:fa⁶ | Zhonghe:fa⁶ | Tangzhou:fo⁶ | Tingpai:fua⁶ | Antang:fuə⁶,0,0,1,0,0,0,3,"There is a strong cluster of forms with fa-/fo-/fua- corresponding plausibly to *CVpəː, likely with initial *p- > f- shift in Tai. The presence of pa-/pja- and huə⁶ outliers suggests either dialect borrowing or retention of older or parallel forms, but overall, the data moderately support the PKD reconstruction, albeit with some irregularity.",,,0
019_chest,chest,*u2k,5,"PT,PH,POB,PK,PKS",chest,CHEST,CHEST,62,74,Sandong:te³ tak⁷ | Zhonghe:te³ tak⁷ | Tangzhou:te³ tak⁷ | Tingpai:te³ tak⁷ | Antang:te³ tak⁷,0,0,0,0,0,1,4,"The dominant pattern in Tai and neighboring languages is a reflex with -k and an initial glottal or a-/ʔa- type onset, which fits *ʔak or similar, not *u2k. The Kam-Sui and Buyang evidence centers more around 'tak,' making the reconstruction *u2k poorly supported by the majority; *ʔɤk is more consistent with the attested Tai shapes. The PKD form thus receives a high but not perfect score, as most reflexes point away from *u2k to a shape with initial glottal or low vowel + k.",3,"There is moderate support for *daSdaS: 'dada' in Indonesian is a direct match, and Oceanic 'fatafata/fat-fata' follow a similar reduplication pattern, though may involve different segments. 'umauma' (widely spread in Oceanic) suggests a competing root, not listed among the reconstructions. The highly dominant Malagasy 'tratra' (and similar forms) in western_mp are unrelated, and there are no clear reflexes of *dəbdəb or *Rusuk. Therefore, the score is 3: some cross-clade support for *daSdaS, with significant exceptions.",0
020_child1,child1,*aləːk,6,"PT,PH,POB,PK,PKS,LAK",childyounghuman,CHILD (YOUNG HUMAN),CHILD (YOUNG HUMAN),25,10,Central Thai:dek.² | Thai:dèk | Southern Tai (Songkhla variety):dek.⁴ | Thai (Korat variety):dek.⁵_nɔ:i.⁴ | Khamuang (Chiang Mai variety):la.⁶_ʔɔ:n.³,0,0,0,0,1,0,4,"The majority of forms in Tai, Kam-Sui, and related branches have lVk or luk/lak-type roots, reasonably matching *aləːk (~*lək, *lɯːk). However, the d- initial found in some Thai varieties (dek) and some more divergent Buyang/Kelao forms suggest borrowing or secondary developments, and the *a- prefix is not retained overtly in most sets. The overall match to the PKD form is good but not perfect, meriting a strong score.",1,"There is no evidence for a reflex of PAN *aNak in any sampled language in this batch. Most Oceanic and Malagasy forms reflect other roots for 'child,' notably *tama and various innovative forms or borrowings. As such, this reconstruction is not supported by the data in this specific sample.",1
021_cold,cold,*kVniːt,4,"PH,POB,PKS,LAK",cold,COLD,COLD,72,936,Sandong:ʔȵit⁷ | Zhonghe:ʔȵit⁷ | Tangzhou:ʔȵit⁷ | Tingpai:ʔȵit⁷ | Antang:ʔȵit⁷,0,0,0,0,0,1,3,"Numerous Northern Tai and Kam-Sui languages reflect a form close to *kVniːt, especially with palatal/nasal initials and -it/-it coda, supporting the PKD form. However, large swathes of Tai—especially Central/Southwestern branches—use a completely different root (na:w/na:u), and there is considerable diversity in Zhuang and non-Tai branches. The PKD is supported for a subset of Kra-Dai, especially Northern Tai and Kam-Sui, but not pan-family-wide.",3,"There is moderate support in that some languages (Pazih, Inagta Alabat, Indonesian, Oceanic makariri) point to *ramig, but coverage is spotty and frequently replaced by innovative or unrelated roots. Formosan, where primary evidence for PAN usually comes from, gives only Pazih lamík as a reasonably clear reflex; most other forms are unrelated in shape. Thus, the reconstruction has partial, non-systematic support across clades.",0
022_cook,cook,*C̥V-ru(ː)ŋ,4,"PT,PH,POB,PKS",cooksomething,COOK (SOMETHING),COOK (SOMETHING),41,678,Sandong:ɕuŋ¹ | Zhonghe:ɕuŋ¹ | Tangzhou:ɕuŋ¹ | Tingpai:ɕuŋ¹ | Antang:ɕuŋ¹,0,0,0,0,0,1,4,"The reflex *-uŋ with an initial s-/h-/ʃ-/r-/l-/t-/ is common across several major branches (especially Northern Tai/Kam-Sui), closely matching the PKD *C̥V-ru(ː)ŋ and Proto-Tai *ʰruŋ. Southwestern Tai uses another word in many cases, reducing full pan-Tai match, but the systematic presence across Northern Tai, Kam-Sui, and even Hlai suggests strong support for a common etymon close to the PKD proposal.",3,"The forms for 'cook' in Western Malayo-Polynesian (Philippines, Borneo) clearly support a *lutu (from *[N/n]asu(k)) root. However, in Oceanic and SHWNG, the dominant pattern is a series like -panun/nunu/fanap/tunun (not easily connected to *[N/n]asu(k) or *-sak) and Formosan forms display great diversity, with few clear hits for any PAN proposal. There is thus moderate support overall for the reconstruction, coming mostly from Western Malayo-Polynesian, but lack of cross-clade alignment prevents a higher score.",0
023_cry,cry,*tVŋi(j),4,"PT,POB,PKS,LAK",cry,CRY,CRY,60,870,Sandong:ʔȵe³ | Zhonghe:ʔȵe³ | Tangzhou:ʔȵe³ | Tingpai:ʔȵe³ | Antang:ʔȵe³,0,0,0,0,0,1,2,"The proposed PKD form *tVŋi(j) receives mixed support from the data. About half the data (especially Northern Zhuang, Sui, Maonan, Mulam, Chadong, Kam, and Buyang/Kelao) show reflexes with nasals and front vowels (e.g., 'ne', 'ŋe', 'ńe') that conflict with the onset and vocalism of the PKD and PT forms. The other half, especially Tai and Zhuang dialects, support an onset like t(h)- and -ai final, as in the PT form. The denti-nasal forms outnumber the t(h)- forms, suggesting two separate etyma or massive lexical replacement. Overall, the PKD form is not well supported as the best pan-Kra-Dai ancestor for the bulk of the attested forms.",5,"The reconstruction *Caŋis is exceptionally well supported, with clear, regular reflexes from Formosan down through Western Malayo-Polynesian, SHWNG, and into Oceanic. The cluster of taŋis/tangis forms is robust across both primary branches and into many descendant languages. The widespread and systematic distribution across clades merits the highest attestation score.",1
024_dark_black,dark; black,*(C̥V/m)-dam,6,"PT,PH,POB,PK,PKS,LAK",black,BLACK,BLACK,73,952,Sandong:ʔnam¹ | Zhonghe:ʔnam¹ | Tangzhou:ʔnam¹ | Tingpai:ʔnam¹ | Antang:ʔnam¹,0,0,0,0,0,1,4,"The PKD reconstruction *(C̥V/m)-dam fits well with most attested daughter languages, which overwhelmingly exhibit 'dam', 'nam', or similar forms, and the PT form is closely matched by the majority. There are expected minor variants, such as 'lam' or 'qam', likely due to regular local sound changes or assimilations. Some Hlai and Kelao forms show more divergent reflexes, but they are in the minority. The PKD shape is a good match for the attested evidence, with most deviations explainable by branching developments or assimilation.",4,"The etymon *-dəm is strongly supported by recurrent t-m/m-t-m forms across Western Malayo-Polynesian, SHWNG, and Oceanic, suggesting a deeply inherited root for 'black.' However, Formosan languages, crucial for PAN evaluation, show great diversity with only a few potential reflexes, hinting at either heavy innovation or the presence of an alternate root. While not absolutely pan-Formosan, the immense spread and regularity outside Formosa justify a high attestation score.",0
025_deaf,deaf,*CV-lək,6,"PT,PH,POB,PK,PKS,LAK",deaf,DEAF,DEAF,59,10,Sandong:ʔdak⁷ | Zhonghe:ʔdak⁷ | Tangzhou:ʔdak⁷ | Tingpai:ʔdak⁷ | Antang:ʔdak⁷,0,0,0,0,0,1,3,"While a majority of Central and Southwestern Tai forms support a root similar to *nuak/*nok, consistent with the Tai branch proto-form *ʰnuəkᴰ and broadly supportive of PKD *CV-lək, Northern Zhuang and Sui reflexes instead cluster on forms like ʔdak/ⁿdak, and non-Tai branches (e.g. Hlai, Kam-Sui, Buyang) show more divergent forms. The presence of both types (nuk/nok vs. ʔdak) within Kra-Dai suggests either doublets or early areal mixture. The PKD form receives partial support, but is not a perfect match given the prevalence of the alternative reflexes.",3,"There is strong support for *Culi from a cluster of Oceanic languages, showing very regular reflexes (kuli, tuli, turi, fuli). However, Malagasy (the only Western MP language attested) and several Oceanic languages use unrelated terms, indicating a more recent innovation or restricted inheritance outside Oceanic. Lack of Formosan or Western MP evidence reduces the score to moderate.",0
026_deep,deep,*C-alək,5,"PT,PH,POB,PK,PKS",deep,DEEP,DEEP,60,10,Sandong:ʔjam¹ | Zhonghe:ʔjam¹ | Tangzhou:ʔjam¹ | Tingpai:ʔjam¹ | Antang:ʔjam¹,0,0,0,0,0,1,5,"The vast majority of Tai and several peripheral Kra-Dai languages strongly attest forms matching *lək/*lak or similar, perfectly supporting the proto-form *C-alək and the PT *lɤkᴰ. Although some neighboring branches (notably Kam-Sui and some Kam) have a 'jam' type root, this secondary root forms a clear minority, and may represent borrowing or analogical replacement. Overall, the reconstruction is robustly confirmed.",2,"The scattered presence of an initial lateral and a final nasal in Malagasy 'làlina', and possibly Tongan 'loloto' and Rotuman 'lala', minimally support a relationship to *daləm. However, the Formosan reflex is unrecognizable and most Oceanic forms point to different roots or innovations. The shape *daləm is not shown widely across clades, and core support rests on a single Western MP form. As such, support for this reconstruction among sampled forms is weak.",1
027_die,die,*p-ataːy,6,"PT,PH,POB,PK,PKS,LAK",die,DIE,DIE,48,146,Sandong:tai¹ | Zhonghe:tai¹ | Tangzhou:təi¹ | Tingpai:tai¹ | Antang:tai¹,0,0,0,0,0,1,4,"The majority of Tai and Zhuang languages show clear reflexes of *taːy, which matches both PT and the end of the PKD reconstruction. However, the proposed PKD onset *p- is not preserved in most daughter forms—forms generally start with t-, not p-, suggesting possible loss or change. Several Hlai and non-Tai forms are quite distinct in shape, indicating either secondary developments or unrelated roots. There is broad support across Tai branches, but less so across all Kra-Dai.",5,"A reflex of *(m/p-)aCay is overwhelmingly supported in both Western Malayo-Polynesian (maty, mate, mati, etc.) and Oceanic (mate, mae, mɛte, make), showing systematic retention of the root across the major daughter clades outside Formosa. The lack of a direct Formosan cognate is typical for some meanings, but the strength in both MP and Oceanic is robust. Alternative forms in some SHWNG and Oceanic languages indicate replacement but do not undermine the core conclusion, justifying the maximum score.",0
028_dream,dream,*CV([+H])pan,5,"PT,PH,POB,PK,PKS",dream,DREAM,DREAM,16,1,Sandong:vjaːn¹ | Zhonghe:sɿ¹ vjen¹ | Tangzhou:vjən¹ | Tingpai:vjan¹ | Antang:sɿ² vjən¹,0,0,1,0,1,0,3,"Most contemporary attested forms point to an initial v- (occasionally p-) rather than the PT *h- or the more abstract PKD *CV([+H])pan. This suggests the reconstruction is only loosely reflected: although the rhyme and final nasal match *-an, the onset is generally v-/p- and not *h-. Some compound forms add an sV- element, further complicating the picture. This yields moderate, but not strong, support.",1,"The sole sampled form for 'dream' (Tomoip, Oceanic: mulmulieŋ) bears no phonological resemblance to the proposed PAN reconstruction *S[ə/i]pi. No other clades are sampled, and no supporting or even vaguely similar reflexes are attested in this very limited dataset. Support for this etymon is not demonstrated.",1
029_drop_fall,drop; fall,*tok,4,"PT,PH,PK,PKS",fall,FALL,FALL,43,901,Sandong:tok⁷ | Zhonghe:tok⁷ | Tangzhou:tok⁷ | Tingpai:tok⁷ | Antang:tok⁷,0,0,0,0,0,1,5,"The overwhelming majority of attested forms across Tai, Kam-Sui, Be, and Kra branches reflect the shape *tok or minor variants (tɔk, tuk, thok), supporting the proposed PKD form. Irregular reflexes cluster in certain languages (Lakkia, Mulam, Zhuang, Kelao) with significant morphophonemic innovation or replacement. These exceptions do not undermine the otherwise systematic and widespread support for *tok.",2,"While several Oceanic forms resemble *-tuq (e.g., tu-soð, tō, tˢoβi), the largest and deepest sample (Formosan) shows no convincing reflex, and Western Malayo-Polynesian reflexes center on forms like hulog/ulug or lavo, which do not match *-tuq. SHWNG shows much divergence, though Minyaifuin (-sobi) and Biga (-tak) are somewhat suggestive. This scattered, partial support suggests either that *-tuq only survives as a minor root, or that it is not the main source across Austronesian. Overall support is weak, given broad divergence and lack of Formosan/Western MP support.",1
