comparison_id,concept_id,generosity,shared_shape_notes,reasoning,n_tk_forms,n_an_forms,permutation_id
015,fish,2,"Some marginal overlap in CV(V) strings (e.g., pa-, ma-, li- in bag_a; pa-, ma-, li- in bag_b) but these are extremely basic and unspecific. No strongly recurring or idiosyncratic shared patterns across both bags. Consonant and vowel structures overall differ.","While there are simple CV- and CVC- patterns such as pa-, ma-, and li- appearing within both bags, such shapes are common in the world's languages and not substantial. The majority of forms in each bag do not align in onset or rime structure, and specific clusters or wordshapes are not widely shared. The evidence for hypothetical cognacy is weak and unspecific based on shape alone.",25,80,0
016,red,2,"Very limited: possible echoes of CVN or CVNC patterns and some clusters of nasal-final or nasal-medial strings (e.g., la:n., lu:n., ha:n., dɛŋ, deŋ, hoŋ, kaŋ, ŋaŋilæhan, kahŋaŋ, ʈaŋʈaraŋ, etc.), but overall segmental skeletons and consonant structures diverge significantly.","Though both bags display some nasal-final forms with sequences like -an/-an and -aŋ/-aŋ in different syllabic environments, and a general CVCV or CVCVC pattern occurs, the overall segmental makeup and consonant clusters in the two bags are quite different. Only isolated similarities exist, with no clear, widespread shared root forms. No strong evidence for systematic similarities based on shape alone.",35,80,0
017,good,2,"Some tenuous overlap in forms with initial nasal (ŋa-, na-) and final -ai/-ay, and scattered i-/ai-/ea-/ia-type syllables, but overall segmental matches are sparse and not recurrent across both bags.","While both bags contain a few forms with similar nasal-initial (ŋai/ŋaʡay) and -ai/-ay endings, and isolated syllabic matches like 'pia', 'dai'/'diaw', such correspondences are isolated and not consistent across the lists. No robust recurring consonant/vowel skeletons are shared widely, indicating a low and non-systematic resemblance between the bags on shape alone.",33,80,0
018,black,2,"Isolated similarities such as -dam, -nam, -tam, but no consistent wide pattern.","Bag A is highly saturated with forms containing the sequence -dam/-nam/-am and similar CVC shapes, often with nasal or oral onsets. Bag B shows isolated items like 'fitam', 'matɛm', 'amatem', and 'didem' that match this pattern, but these are few compared to the overall diversity in Bag B. There are not enough recurring, widespread structural parallels across both bags to suggest promising hypothetical cognacy.",30,80,0
019,mouth,2,"Some recurrent nasal + vowel + nasal (e.g., 'mom', 'mom', 'mom', 'moŋ', 'ŋɔŋ', 'moɜm', 'mohoŋ', 'mung'), and nasal-initial forms ('ŋa-', 'ŋo-', 'ŋu-') appear in both bags. Occasional labial and velar clusters and 'pa:k', 'pak', 'pam', 'pom', 'bam', 'bab' in both, but most similarities are isolated or superficial.","There are a handful of superficial segmental similarities, such as forms with initial nasals and NVN syllable structures (e.g., 'mom', 'moŋ', 'ŋɔŋ'), and some direct matches in shapes like 'pak', 'pa:k', 'pam', and 'babá' vs. 'ba:k'. However, these are not widespread or systematic across both bags. The majority of forms do not show clearly recurring, systematic segmental resemblances, making hypothetical cognacy on shape alone largely unconvincing.",27,80,0
020,big,1,none noted,"No convincing recurring segmental patterns or word shapes appear across both bags. Bag A is notably heavy in forms with initial 'l', 'lu', 'la', and 'lo' (especially VC or VCVN types), while Bag B shows a much broader diversity of onsets and syllabic shapes, with little to no overlap in root shape or consonant-vowel patterns. No widespread or systematic phonological similarity is apparent between the two sets.",31,80,0
021,bone,2,"Some isolated similarities such as forms with initial k/l/t, 'lak/luk' vs. 'lulu', and 'kut/kak' vs. 'ukak', but no widespread recurring shape. Most items have distinct syllable structures.","There are a few surface resemblances (e.g., CVC patterns with /k, l, t/ onsets and /ak, uk, ot/ codas), but these are scattered and surrounded by many unrelated forms. There is no strong evidence for a widespread shared segmental skeleton; the observed similarities are as likely to be chance or typological rather than indicating promising hypothetical cognacy.",40,80,0
022,neck,2,"Limited recurrence of kV(k)/kV(k) shapes and nasal-final syllables (e.g., -ŋ, -n) in both bags, and some matches in forms like 'kan/kanaŋ' and repeated kɔ patterns; overall correspondences appear weak and scattered.","While both bags contain some forms with similar phonological skeletons (such as CVN or reduplicated syllables like kɔkɔ-), as well as occasional matches like 'kan/kanan' and -ŋ or -n finals, these similarities are generally superficial and not broadly distributed across the datasets. The matches are mostly isolated and do not show robust, multi-item correspondences across both bags.",27,80,0
023,drink,2,"Some nasal-final (CVC/nasal) forms like -um, -əm, -om, -m appear in both bags; rare -t/-p final forms; otherwise, phonological shapes diverge widely.","There are a few matching patterns, particularly in items ending in nasal consonants (e.g., -um, -əm, -om, -m), which recur multiple times in both bags. However, other segmental patterns, such as initial clusters and other syllable structure, differ greatly and there is little overall resemblance in the majority of forms. The matches may reflect coincidence or common phonotactics rather than deep relatedness.",40,80,0
024,what,2,"Frequent occurrences of CVCV, CV(N)CV, and CVCVCV patterns in both bags. Weak parallelisms in syllabic shapes with -ma, -na, -ŋ, and CVma/CVŋ found in both sets, but no recurring distinct sequence stands out strongly across both lists.","Although a few recurring shapes like 'ma', 'na', and 'ŋ' occur semi-regularly in both bags, these are typologically very common sequences. There is no clear pattern of widespread, non-trivial segmental resemblance across multiple items. Most pairs would be difficult to link as hypothetical cognates on form alone, with only weak shape correspondences present.",40,80,0
025,skin,2,"Some 'naŋ', 'laŋ', 'ŋ' forms in bag_a; bag_b contains a few forms with 'na', 'ŋ', 'la', 'baŋ', but not in parallel abundance. Some partial shared shapes like 'pa', 'ka', 'ku', 'ba', but no clear, recurring full word shapes across both bags.","Bag_a shows dense repetition of 'naŋ', 'nɐŋ', 'laŋ' and similar patterns, but bag_b displays a much wider array of phonological patterns, with only scattered occurrences of 'na', 'ŋ', or 'la', such as 'baŋəs', 'kauŋ', and a few other similar segments. Overall, neither full nor partial stem shapes recur broadly across both bags; similarities are isolated and not widespread.",23,80,0
026,name,1,none noted,"The forms in bag_a are dominated by the recurring sequence 'miŋ' and similar CVC syllables, whereas bag_b shows extensive repetition of forms with 'ŋan', 'naŋ', 'ngan', and similar clusters, often with more syllables. There is no significant overlap or recurring shape across both bags, and no systematic segmental similarities emerge to suggest hypothetical cognacy.",38,80,0
027,who,1,"Minor resemblance in some VC or CV skeletons like ai, inu/n̥u, and certain use of nasal or glottal elements, but widespread, systematic recurring shapes or cognate skeletons not seen cross-set.","Most items in bag_a and bag_b do not share recognizable segmental skeletons or display systematic consonant/vowel correspondences. While a few forms like nai/nau/n̥u in bag_a and inu/nan/nan in bag_b show superficial similarity, these patterns are isolated and do not recur across both sets in a way that would suggest promising hypothetical cognacy on shape alone.",40,80,0
028,egg,1,none noted,"Bag A has a strong concentration of monosyllabic and disyllabic forms dominated by open syllables, frequent -ai/-ei/-i diphthongs, and initial velar or palatal affricates. Bag B largely consists of longer, polysyllabic forms, many with labial or nasal consonants and final nasals or stops; few if any recurrent segmental shapes align well with those in Bag A. No salient recurring segmental patterns are widely shared between the bags.",40,80,0
029,earthsoil,2,"Some minor overlap in CVN(C) shapes (e.g., nam/na:m/nam.³³ and tan/tane/tanek/tani) but overall little recurring segmental resemblance; most forms show different consonant clusters and syllable structures.","There are a small number of similar syllable structures like CVC (e.g., nam ~ tan), and a few items with similar nasal/stop-initial shapes. However, the majority of forms have distinct segmental inventories and syllable patterns, with little evidence for systematic, recurring shapes across both bags.",31,80,0
030,root,2,"Some marginal recurrence of initial k-, h-, and r-; weak presence of forms with -ak/-akV/-an, but vowel and consonant structures differ and shared patterns are mostly superficial.","Both bags feature a few forms starting with k-, h-, and r-, and some multisyllabic forms with medial/lateral sonorants. Bag A, however, shows a strong cluster of monosyllabic -ak/-a:k/-ak-type forms with various initial consonants (la:k, ɣaːk, raːk, etc.), which is not matched structurally in Bag B, where forms are more often polysyllabic and utilize different segmental structures. The overlap appears to be primarily in common CV combinations and not robust, recurring sound patterns.",37,80,0
031,tail,1,none noted,"There are no clearly recurring segmental shapes or syllable patterns that are widespread in both bags. Common elements like 'ŋ' in bag_a and various CV or CVC forms in both bags do not show systematic similarity. The majority of forms in each bag exhibit distinct phonological structures, and plausible correspondences are lacking.",40,80,0
032,new,2,"Some initial m- and p-/b- forms in bag_a and bag_b; some final -ai/-au/-ay vowels in both. Otherwise, little recurring segmental similarity.","There are a few phonological strings in both bags with initial m- and p-/b-, as well as forms ending in -ai/-au or similar diphthongs, but these are matched by many unrelated shapes in both sets. The overall structural similarity is weak and recurring correspondences are scarce.",21,80,0
033,liver,1,none noted,"There is a highly prominent cluster of 'tap', 'tăp', 't̪ap', and similar shapes recurring widely within bag_a, often with final -p or similar syllabic structure, but no such recurring shape — or any consistent onset-vowel-coda match — appears in bag_b. Bag_b contains various forms with syllables like 'tay', 'kat', 'at', but nothing systematically matching the 'tap' cluster. Therefore, the sets do not show promising shape-based evidence for hypothetical cognacy.",19,80,0
034,come,2,Some recurring CV(V) and CVCV patterns; weak echo of 'ma' and 'lu' shapes in both; little consistent segmental overlap.,"While both bags show high-frequency syllable shapes like CVC and CVCV and there are isolated instances of similar shapes such as 'ma', 'm.aː', and 'maa' in bag_a and 'ma', 'mai', and 'mau' in bag_b, overall the segmental correspondences are weak, and widespread systematic similarities are not apparent. Shared forms are mainly simple syllables and may reflect chance resemblance rather than productive cognate sets.",20,80,0
035,i,3,"Numerous forms in both bags have sequences with initial k-/ʔ-/j-/h- plus -au/-u/-ou or -ak/-ok/-an/-on; particularly 'kau', 'kou', 'kuu', 'hou', 'jau' in bag A and 'aku', 'yaku', 'kau', 'akuoi', 'jau' in bag B.","Both bags display multiple forms centering on shapes like (C)au/(C)ou/(C)u, especially k-/ʔ-/j-/h- onsets, recurring across several items in each set. There are also echoes in forms with nasal or velar finals (e.g., -n, -ŋ) and a tendency for short CVC or CVV structures. The correspondences are promising and repeated, but the diversity and some structural mismatches keep this at a moderate score.",30,80,0
036,thou,2,"Some overlap in CV or CVCV syllable shapes (e.g., forms ending with -ŋ in bag_a and -ŋ/k in bag_b), and some 'mVŋ' in bag_a and possible related nasal+vowel clusters in bag_b, but no repeated, widespread segmental patterns across both bags.","The forms in both bags tend to be short and vary between CV, CVC, and CVV shapes. Bag_a has several items with 'mVŋ'-type forms (e.g., mɐŋ, məŋ, mɨŋ), but these are not mirrored widely in bag_b. Bag_b has many 'CVV', 'CVCV', and nasality-final items, but the consonant and vowel patterns do not consistently align across bags. Only limited phonological resemblance is present, and any overlap is scattered and not systematic.",24,80,0
037,long,1,none noted,"The forms in bag_a overwhelmingly feature (C/j/ɣ/l/z/ð/ɹ)-V(i/e/a/u) structures, often with palatal onglides or diphthongs (ai, ei, au, əi), and light monosyllabic or disyllabic shapes. Bag_b, in contrast, contains mostly longer, polysyllabic and more complex cluster-rich forms (CVCCV, CVC.CV, CV.CVCV, etc.) with consonant combinations and syllable structures that are quite distinct from bag_a. No clear, recurrent phonological skeletons or segmental correspondences are seen across both sets.",35,80,0
038,bite,4,"widespread recurrence of k-t (kat, kət, kɨt, kɨt, kɔt, kad, kax, kagat, kəm-, koma-, kimi, kate, etc.), k-p (kap, khap, hap, hop, khăp), and k-n or kɲ/kȵ (kan, ka:n, kaña) patterns across both bags","There is strong convergence in the use of forms with initial k- (sometimes kh- or ʔ-) and medial or final -t/-d and -p/-b segments. Both bags have many items with kat/kit/kat/kad/kax/kagat/kamet and similar shapes, as well as secondary recurrence of k-n- and k-m- roots. These recurring skeletons strongly support a high hypothetical cognacy rating based on shape alone.",32,80,0
039,small,2,"Possible recurrent CV(V)k/t and nasal-initial forms, but most similarities appear superficial or sporadic.","A few shapes such as forms with -k or -t codas (e.g., 'lek', 'tik', 'kait') and medial/labial nasals (e.g., 'niŋ', 'maini') appear in both sets. There are also several polysyllabic forms with reduplication or repeated consonants in bag_b ('kikina', 'kekerei'), and CVi or CVCV structure is common. However, overall, the shared structural features are quite general and could be due to chance, with no clear, persistent, and specific pattern of correspondences across multiple forms.",35,80,0
040,two,2,"Some limited overlap in syllable shapes: CVVn(g)/CVu forms ('soŋ', 'sɔŋ', 'so:ŋ', 'su:a', 'rua'), clusters like 's-...ŋ' vs. 's-...a', occasional similar medial vowels or diphthongs. However, most forms do not show recurring shared structures, and 'rua', 'duha' families have consonant+vowel patterns not echoed in the other bag.","There is a small group of C(V)(V)N and C(V)u/a forms (e.g., 'soŋ', 'su:a', 'rua') resembling each other superficially, but these are not widespread in both sets and could be coincidental. The majority of forms cluster around different segmental patterns, with only sporadic or partial similarity, offering weak support for hypothetical cognacy on form alone.",30,80,0
041,white,2,"Some resemblance in initial labial and velar shapes (p/b, k) and open syllables (e.g., ""pak"", ""buk"", ""po-"", ""ka-"") recurring in both bags, but no consistent or repeated segmental patterns spanning both sets.","While both bags share a few forms with labial and velar onsets and open syllables, recurring shapes such as 'kha:u', 'pak', and 'poʔ' in bag_a do not align meaningfully or consistently with segmental patterns in bag_b, where 'p/b' or 'k' root shapes and varied codas prevail. No robust, repeated sequence or correspondence is present across both bags, making hypothetical cognacy on shape alone unlikely.",25,80,0
042,head,2,"Some surface-level similarities such as recurring ku/kau/kɐu, gu/gau, pa/ba, and u/ul/ulu found in both bags, but overall shape correspondences are weak and mostly isolated.","While very common syllables like 'ka/kau/kɐu' and 'gu/gau/gulu' appear across both sets, these patterns are not especially distinctive and are matched by different forms without systematic correspondences. The diverse shapes and internal structure in each bag yield few consistent, specific shape matches, resulting in low but nonzero promise.",27,80,0
043,moon,1,None noted,"No recurring root shapes or segmental skeletons are widespread in both bags. Bag_a is dominated by forms with n-, nj-, l-, m-, d-, ɹ-, and ŋ-initial syllables, often with nasality and clusters like -an, -en, -ŋ, -ai, -an, or diphthongs. Bag_b, in contrast, is heavily characterized by b-, v-, f-, h-, s-, and l-initial forms, with a notable concentration on 'bVlan/bVran' shapes and related patterns. The main shapes and consonant/vowel skeletons do not align across sets; similar forms are neither common nor systematic enough to suggest hypothetical cognacy on sound structure alone.",40,80,0
044,sand,1,none noted,"The bags do not share recurring phonological shapes. Bag A has a large number of items featuring s‑, sa‑, saj, sa:i, as well as forms with kh‑, ph‑, and nasal-initials, while Bag B features many items beginning with b‑, bna‑, bu‑, as well as complex syllable structures atypical for Bag A. There are no widespread segmental motifs aligning across the two sets, and overall structure differs greatly.",27,80,0
045,leaf,2,"Some vague similarity in forms with initial b-/ɓ-, medial -a-, and final -i/au/ai/ɯ in one bag, and some b-/ba-/bu-/bo- and -uŋ/-on/-au/-an/-un/-am in the other, but no consistently recurring shapes in both bags.","While both bags show a preference for bisyllabic and monosyllabic forms and contain forms with b/ɓ/ba/bu and d/da/ʔd as initial elements, the overall syllable structure and segment sequences differ widely. The most common shapes in bag_a involve bV(V)j/ɯ/ai, and in bag_b, bV(V)N, dV(V)N, or rV(V)n, but there are no solid shared shape patterns recurring across both bags.",29,80,0
046,sleep,2,"Some -nan/-non/-nun forms in bag_a and occasional nan/en- forms in bag_b, but overall little recurrence in shape. Bag_a is heavy in nVn, bag_b much more varied.","Bag_a displays a strong pattern of 'nVn' forms (e.g., nɔn, nan, nɯn, nin, nun, etc.), while this specific pattern recurs at best sparingly in bag_b (a single 'nan', some 'enak', and, distantly, forms like 'jenakɔ'). Most of bag_b consists of much more varied and longer or morphologically complex forms, with little overall phonological overlap. A couple of potential isolated similarities exist, but overall recurring shape similarity is weak, thus only a low promise for cognacy on shape alone.",30,80,0
047,cold,1,none noted,"There are no clear recurring consonant/vowel skeletons or widespread segmental patterns shared across both bags. Shapes like CVC, CVN, or forms with nasal finals and 'k/g' stops are present in both, but these are highly generic. No specific roots or sequences appear to recur in both sets, suggesting very low likelihood of hypothetical cognacy on segmental shape alone.",38,80,0
048,flymovethroughair,1,none noted,"Bag A is dominated by forms featuring an initial labial or prenasalized stop (ɓ/b/p/m/v/w) plus a front vowel (i/e) and a final nasal (n/ŋ), often with forms like 'bin', 'vin', 'min', etc. Bag B, in contrast, is highly diverse in shape and predominantly lacks this pattern; none of the forms consistently match this labial-initial, -in-final skeleton. No clear widespread recurrence of shapes across both bags is detected.",32,80,0
049,dry,1,none noted,"There are no clear recurring segmental patterns or word shapes that are widespread across both bags. Bag A often has forms with initial h-, kh-, k-, s-, or vowels and many monosyllabic or disyllabic shapes, while Bag B shows high frequency of initial ma-/mam-/m-, with longer forms and complex clusters uncommon in Bag A. While a few accidental superficial resemblances (like 'hɛŋ' vs 'helaŋ'), they are isolated and do not reflect a systematic pattern.",33,80,0
050,hand,2,"Some overlap with forms containing initial m- and medial -i/a vowels (e.g., mja, mia, mie in bag_a and ima, lima, rima in bag_b); limited shared segmental templates.","There are a few correspondences in the general shape of forms with initial m- and medial/front vowels in both bags (e.g., mja/mie/mia vs. ima/lima/rima), but this is a common segmental template cross-linguistically. Other forms diverge in shape, and there is little evidence for widespread, consistent segmental patterning across both bags.",26,80,0
051,kill,1,none noted,"Bag A forms are overwhelmingly monosyllabic or disyllabic, often with CVC or CV: shapes (e.g. kha, kha:, fan, zən), whereas Bag B forms are highly polysynthetic, polysyllabic, and display extensive reduplication or affixation (e.g. papapaci, tamatea, matəʔətə, muná). There are no recurring or systematic segmental patterns between the two sets, nor do any roots or shapes seem widely shared in both bags. Isolated partial matches like 'fan' vs. 'fnati' or 'pja:ŋ' vs. various pa- forms are slim and likely accidental given the overall divergence in structure.",13,80,0
052,yellow,2,"Some superficial overlap in nasal-initial forms (e.g., man-, ma-, ŋa-), some long/diphthongal nuclei (an, aŋ, aw, a:], but overall little consistent or systematic shared shape across the majority of both bags.","While both bags contain several forms featuring initial nasals (ma-, man-, ŋa-) and elongated/unbroken vocalic sequences (an, aŋ, aw, etc.), these are very generic structures and show little strong, systematic, or repeated segmental overlap across multiple forms from both sides. Other segments and shapes are highly divergent, and recurring shapes are minimal or not unique enough to suggest hypothetical cognacy.",32,80,0
053,person,2,"Some overlap in CVn and CVCV patterns, weak convergences around -n, -u, -au endings, and syllables like 'kan', 'kon', 'na', but no strongly recurrent distinctive segmental shapes across both bags.","While both sets show a prevalence of CVn and CVCV structures and some rhyme similarities (-n, -u, -au), these shapes are frequent cross-linguistically and do not point to specific, repeated correspondences across both bags. No highly distinctive or systematic consonant/vowel sequences reoccur robustly in both, suggesting limited evidence for hypothetical cognacy on shape alone.",38,80,0
054,all,1,none noted,"There are no clear and recurrent consonant-vowel skeletons or segmental patterns shared widely across both bags. While some forms in bag_a feature repeated CVN syllables (e.g., taŋ, mot), similar patterns are not echoed with corresponding segments or structure in bag_b; surface similarities (such as 'taŋ' vs. 'kaavaŋvaŋ' or 'laŋun') appear accidental and not systematic nor widespread. Overall, the two bags look unrelated on phonological shape alone.",40,80,0
055,swim,2,"Some shared vowel sequences like 'wai', 'ai', and forms ending in -m/-n and -ŋ, a handful of CVV syllable shapes and nasal-final elements, but no consistent or widespread segmental patterns across both bags. Bag B shows recurring -ŋuy/-ŋoy/-ŋui/-ŋuj forms, but this shape is rare in Bag A.","Although both bags contain some CVV, vowel-rich forms, and occasional nasals (such as 'nam', 'nam', 'ŋam', 'ŋuy', 'ngoy'), the most frequent patterns in bag B (e.g., -ŋuy, -ŋoy, -aŋoy) are not robustly mirrored in bag A. Most similar shapes are isolated or superficial, lacking pervasive, regular, or systematic shape correspondences necessary for a higher generosity score.",40,80,0
056,cloud,2,"Limited overlap in CV or CVCV roots; some surface similarity in forms with initial m-, l-, or p-/b- and reduplicated or echoed patterns (e.g., muk-/mukm-, lul-/lol-), but these occur in different contexts and do not show systematic recurring correspondences.","While both sets show extensive internal repetition of syllable structures (such as CV, CVC, reduplication, and common onsets like m-, l-, p-/b-), the correspondences mostly appear unsystematic and isolated. There is no robust evidence for recurring shared word shapes across the two bags, except for vague resemblances in a few items. Overall, hypothetical cognacy on shape alone is weak.",28,80,0
057,breast,1,none noted,"Bag B shows extensive reduplicated CV.CV forms such as 'susu', 'dudu', 'titi', 'bubu', and so on, which are extremely widespread across its items. Bag A, however, does not show any clear reduplicated CV.CV forms, instead favoring more complex syllabic shapes and a wide diversity of onsets and finals (e.g., 'tju', 'tsɛ', 'nom', 'nɔŋ'). There are no consistent or recurring segmental patterns common to both bags to suggest hypothetical cognacy.",23,80,0
058,green,2,"Possible weak similarity in forms involving /lVk/ (e.g., 'lok', 'lɔk', 'ljok' in bag_a; 'laluwaluwas', 'lamuot', 'liluwaluwas' in bag_b), and some instances of nasal+V+C (e.g., 'mlunu', 'mlɨnno', 'memeña' in bag_b; potential echoes in 'mjaŋ', 'kjaŋ' from bag_a). Some bag_b items ('hijau', 'jau') and bag_a ('jau', 'jaːu') show isolated possible resemblance but without systematic sound patterns.","Both bags are highly diverse and mostly lack recurring, systematic segmental patterns across the sets. The only weak points of resemblance are some /lVk/ forms and possible echoes of j/jaːu shapes; however, these are isolated and not supported by widespread consistent matches in phonological skeletons. Overall, only marginal plausibility for hypothetical cognacy based on observed segmental shapes.",32,80,0
059,walk,2,"Some overlap in CVCV or CVCVCV word shapes; possible m-l-k, p-j, a-m, d-v/k clusters, and general presence of nasal or liquid sequences, but no consistent correspondences or widespread, distinctive stem-shape matches across both bags.","Both bags feature polysyllabic forms rich in nasals, liquids, and labial or velar consonants, with some instances of CVCV and CVCVCV templates recurring. However, there are no clear, repeated stem patterns (such as a stable set of corresponding consonants and vowels) across a significant number of forms in both bags. The superficial similarities in phoneme classes (nasals, laterals, vowels) are plausible but too common cross-linguistically to suggest strong hypothetical cognacy on shape alone.",33,80,0
