pair_id,gloss,pan,pkd,generosity,plausible_sound_correspondences,reasoning,is_hit,permutation_id,batch_id
065_mushroom,mushroom,*kulaC (bracket fungus); *bajiw; *quSuŋ,*C-uret,2,"Some overlap in *kulaC ~ *C-uret via liquid and front vowel, but segments differ overall.","There are scattered matching segments (liquids/V/C), but the overall structure and syllabic outline diverge significantly.",0,0,p0
066_navel,navel,*puja,*C[lab]udəː,2,"Initial p~[labial] possible; j~d potentially plausible as liquids/semivowels, but forms are fairly distinct.",Minor shape overlap is possible but the overall syllabic and consonantal patterns are divergent.,0,0,p0
068_new,new,*baqəRuh,*C̥-maːl,2,"ba~ma or R~m, final h~l both possible in broad correspondences.","Some consonantal similarities can be drawn in a very generous fashion, but segment order and vowels differ substantially.",0,0,p0
069_nine,nine,*siwa,(*s(i)waː),5,siwa ~ s(i)waː nearly identical segmentally outside of vowel length.,"The forms are near matches in consonant and vowel sequence, providing a highly similar overall shape.",1,0,p0
070_nose,nose,*ujuŋ,*(ŋ)-V[+H]daŋ,2,"Possible -uŋ ~ -aŋ, and u~V, but initial segments do not clearly align.","There is only partial resemblance in the rhyme, and the onset divergence is strong, giving a weak match.",0,0,p0
071_one,one,*isa,(*icəː),2,"i~i, sa~cə, but overall shapes do not match much.","Apart from the presence of high vowels, the structures and segment order differ considerably.",0,0,p0
073_outside_go_outside,outside; (go outside),*NataD,*oːk,1,"Final k is shared, but onset and vowel shapes are very different.",The strong mismatch in both onset and most of the vowel/consonant sequence leaves little room for plausible shape alignment.,0,0,p0
076_pig,pig,*babuy; *bəRək,*xVmuː,2,"mu~mu in some alternates, but initial segments and onsets are less similar.","Some overlap present in the rhyme, but initial positions and root shape do not convincingly align.",0,0,p0
078_rain,rain,*quzaN; *salaw,*CV-pu1n,2,"Possible *pu- : *qu- or *sal- : *pu-, but only weak resemblance.","Phonetic overlap is weak: no clear segmental parallels in the main syllables between options, except perhaps *quzaN : *pu1n for the *uN coda, but overall similarity is low.",0,0,p0
081_road,road,*zalan,*c-ugu2n,2,Possibly *zal- : *c-ug- but this is weak.,"*zalan and *c-ugu2n diverge strongly in most segments; only tenuous link in the initial coronal segment, but little overt resemblance.",0,0,p0
082_scale_skin,scale; skin,*qaNiC,*kalec,3,"*qa- : *ka-, -n- : -l-, -iC : -ec.","Vowel and nasal/liquid are reasonably close in *qaNiC : *kalec, and both forms are disyllabic with similar syllable structure, but segment realization differs.",0,0,p0
083_seed,seed,*binəSiq; *Rahap,*ipan,2,"Perhaps -p- : -p-, but otherwise none noted.","*binəSiq; *Rahap vs. *ipan have very limited resemblance, with only a possible vague parallel in a final *-p- or labial.",0,0,p0
084_seven,seven,*pitu,*CV-tuː,3,*tu : *tuː.,"Second syllable shows clear similarity in *pitu : *tuː, though the first syllables are less alike.",0,0,p0
087_shoulder,shoulder,*qabaRa,*CV-baː,4,*ba : *baː.,"Main root syllable shows strong resemblance, with similar onset and vowel; initial prefixal segments are less certain.",1,0,p0
090_six,six,*(x)ənəm,*xən[a/ə]m,5,*xənəm : *xən[a/ə]m.,Forms are nearly identical in both consonant and vowel segments; likely only minor transcription differences.,1,0,p0
091_skin,skin,*kuliC,*CV-nəŋ,2,"Possible *k-n : *n-, but overall quite different.","Only possible similarity is a nasal segment, but otherwise little overt resemblance between the forms.",0,0,p0
093_sky,sky,*Rabun,*C-bu1n,4,*bun : *bu1n.,"Core syllable matches closely, only differing in possible prefix or initial consonant voicing.",1,0,p0
094_snot,snot,*ŋuSuR,*muːk,2,"ŋ ~ m, SuR ~ uːk","Initial nasal can arguably shift between ŋ and m, and u/vowel quality is maintained. Medial s/k mismatch and divergent codas reduce similarity. Weak match overall.",0,0,p0
096_stand,stand,*diRi,*CV-ɟuːn,1,none noted,No clear segmental similarity; diRi and ɟuːn show no matching consonants or vowels. Different shapes and syllabic structures.,0,0,p0
098_steal,steal,*Cakaw,*C̬ilakᴰ,2,Ca~Ci; kaw~lak,"Match for second syllable is possible (kaw~lak), but first syllable differs substantially. Lenition or metathesis would be required. Overall quite distinct.",0,0,p0
100_stone,stone,*batu,*ʈiːl,1,none noted,"Phonetic forms are entirely different, with no clear matching segments between Austronesian and Kra-Dai forms.",0,0,p0
101_sweet,sweet,(PMP *həmis),*CV-waːl,2,"h~w (possible weak correspondence), mis~waːl (mid vowels)","CV shapes are similar but not segmentally; possible weak parallel (h~w), but core segments and structure do not closely align.",0,0,p0
102_tail,tail,*(k)ikuR,*CV-cu1t,2,k~c; ku~cu,"Some similarity in ku~cu segments. Other elements diverge, and codas do not align. Medial consonant difference is considerable.",0,0,p0
104_this,this,*-ni,*niː,5,Full match: ni ~ niː ~ naj,"All forms closely align with segmental matches throughout, only varying in length or nasalization.",1,0,p0
105_three,three,*təlu,*utuː,1,none noted,No clear matching segments or structure between the Austronesian and Kra-Dai forms.,0,0,p0
107_to_fly,to fly,*layap,*CV-pil,2,p~p/b; il~yap,"Marginal similarity in second syllable vowel, but onset and medial segments are quite different. Structure differs.",0,0,p0
109_tongue2,tongue2,*Səma,*Səmaːᴬ,5,Full match: Səma ~ Səmaː,Virtually identical segmental structure except for vocalic length; highly plausible surface similarity.,1,0,p0
110_tooth,tooth,*[l/n/ŋ]ipan,*(l)ipan,5,Initial lateral/nasal and full 'ipan' sequence match; both allow for l/n variants,"Ignoring the optional initial lateral, both forms closely match in all segments. The alternate initials add yet more overlap.",1,0,p0
111_transplant_plant,transplant; plant,*CaNəm,*tVl(j)am,3,Medial stops and nasals; possible t/C alignment and nasal coda correspondence,"Both forms share a medial nasal and an -am/əm ending, but initial consonant and medials are less closely aligned; overall moderate resemblance.",0,0,p0
113_two,two,*duSa,*Vsaː,3,Final -sa aligns; initial voiced stop reducing to V- is plausible,"The main similarity is in the 'sa' sequence, though the initial segments are only distantly related in shape; moderate segmental overlap.",0,0,p0
114_village,village,*asaŋ; *taNaS,*baːn,2,Possible nasal-final and initial stop correspondence; little else,"Some potential overlap with *asaŋ > *baːn in terms of final nasal and possible initial correspondence, but differences in root structure are significant.",0,0,p0
115_vomit,vomit,*utaq,*utaːk,5,Complete stem match: 'utaq' and 'utaːk',"Both forms are nearly identical in all segments, differing only in vowel length. Direct segmental match.",1,0,p0
116_wash,wash,*basəq,*C-sak,4,"Initial 'b/C', root 'sak~səq', final 'k' matches",Both forms have a similar segmental sequence with only a voicing difference in the initial and vowel variation; very close overall shape.,1,0,p0
117_water,water,*daNum,*danam,5,"Full match: initial, medial, and nasal coda identical","Every segment aligns closely, with only minor vowel alternation possible; the forms are virtually identical in structure.",1,0,p0
118_wing,wing,*paNi[d/j],*CV-piːk,3,Pi sequence and final 'k' match; less clear initial correspondence,"There's a core 'pi' + coda 'k' present in both, but initial segments diverge (paNi- vs. C/pi-); still a moderate segmental resemblance.",0,0,p0
120_younger_siblings,younger siblings,*Suaji,*naɭoːŋ,1,none noted,"No clear segmental similarity between these forms, aside from some possible medial glide, but overall sequence is very different.",0,0,p0
