study,item_id,gloss,form_summary,generosity,chinese_loan_plausibility,likely_direction,reasoning,prompt_version
study1,038_five,five,PAN *lima ~ PKD *ɭVmaː,5,1,not_applicable,"OC *ŋr[əj]ʔ > wu (Mandarin) ‘five’ is unrelated in both root and onset; the resemblance is due to shared Austro-Tai heritage, not Chinese loaning.",v1
study1,048_head,head,PAN *quluh ~ PKD *kuɭuː,4,1,not_applicable,"OC *gloʔ ‘head’ is not a match, and neither segmental nor semantic alignment supports a loan; shared forms are better attributed to inheritance.",v1
study1,049_hold_grab,hold; grab,PAN *-[g/k]əm ~ PKD *N-kamᴬ,5,2,not_applicable,There is no convincing Chinese comparandum for this semantics and phonology; could be an internal Austro-Tai innovation.,v1
study1,062_louse,louse,PAN *kuCu ~ PKD *C-uʈuː,4,1,not_applicable,"The word for ‘louse’ in Sinitic is 全 *tsʰjwen > Mandarin qián, <MC dzwin>, not matching these forms. The alignment is likely inherited, not borrowed.",v1
study1,064_moon,moon,PAN *bulaN ~ PKD *buɭaːl,5,1,not_applicable,There is no convincing Old Chinese form resembling *bulaN for 'moon'; both PAN and PKD likely reflect a shared Austro-Tai (or deep genealogical) inheritance.,v1
study1,069_nine,nine,PAN *siwa ~ PKD (*s(i)waː),5,1,not_applicable,"Old Chinese for 'nine' is *kuːwʔ, which does not match *siwa; the resemblance is not compatible with a Chinese loan pathway.",v1
study1,087_shoulder,shoulder,PAN *qabaRa ~ PKD *CV-baː,4,2,not_applicable,There is no clear Old Chinese form for 'shoulder' of the shape *baː or similar; possible resemblance more likely reflects internal developments or distant genetic links.,v1
study1,090_six,six,PAN *(x)ənəm ~ PKD *xən[a/ə]m,5,1,not_applicable,"Old Chinese for 'six' is *k.ruk, unrelated to *(x)ənəm; the resemblance cannot be due to Sinitic loan influence.",v1
study1,093_sky,sky,PAN *Rabun ~ PKD *C-bu1n,4,2,not_applicable,Old Chinese 'sky' is *qʰˤin (天); neither form resembles the Austronesian or Kra-Dai words. A Chinese basis is highly unlikely.,v1
study1,104_this,this,PAN *-ni ~ PKD *niː,5,1,not_applicable,Chinese demonstratives do not use a *ni shape; this parallel is best explained by independent development or deep inheritance.,v1
study1,109_tongue2,tongue2,PAN *Səma ~ PKD *Səmaːᴬ,5,1,not_applicable,"Chinese 'tongue' is *mraː, quite unlike *Səma; the resemblance is not suggestive of a Sinitic loan.",v1
study1,110_tooth,tooth,PAN *[l/n/ŋ]ipan ~ PKD *(l)ipan,5,1,not_applicable,"Old Chinese for 'tooth' is *hjij or similar; there is no close match to *(l)ipan, so a Chinese loan explanation is implausible.",v1
study1,115_vomit,vomit,PAN *utaq ~ PKD *utaːk,5,1,not_applicable,There is no known Old or Middle Chinese etymon *utaq or similar for 'vomit'. The resemblance appears to be internal to Austronesian and Kra-Dai or coincidental.,v1
study1,116_wash,wash,PAN *basəq ~ PKD *C-sak,4,2,not_applicable,"While Sino-Tibetan has initial *sak-type roots for 'wash' or 'clean' (e.g., Old Chinese 洒 *sˤraʔ), the Austronesian form *basəq does not strongly match, and the Kra-Dai form is not an obvious borrowing.",v1
study1,117_water,water,PAN *daNum ~ PKD *danam,5,1,not_applicable,Neither Old nor Middle Chinese have a root like *danam for 'water'; the Sinitic word is 水 *sjwijX or earlier *hljwijʔ. The resemblance is more readily explained by inheritance or areal contact within Austro-Tai.,v1
study2,001,eye,"concept=eye; shared_shape_notes=Striking recurrence of 'ma-ta' or 'ma-ta' variants (e.g., 'mata', 'ma:táʔ', 'maṭáʔ', 'máta', 'maˈta', 'maata', 'ma-ta', 'matah') in bag_b and a prominent cluster of 'ta', 'taa', 'tha', 'ta:', 't.aː', 'ta.¹', 'tha.²', and 'ma.⁰_ta.⁵⁴' in bag_a. Also, weaker but repeated 'lu(k)' and 'pla' (bag_a) with partial echoes like 'loziq', though these are less widespread.",4,1,not_applicable,"The recurrent 'mata' pattern for 'eye' in Austronesian and similar forms in Kra-Dai have no correspondence in Old or Middle Chinese, whose word for 'eye' is 目 *mˤok. This is likely inherited or independently developed within Austro-Tai.",v1
study2,005,nose,"concept=nose; shared_shape_notes=Widespread appearance of nasal-final syllables with -ŋ/-n, recurring initial na-/ŋa- in both sets; also some similar CVC structures such as naŋ, daŋ, mu(k/ŋ), and occasional tiŋ/ting forms.",4,1,not_applicable,"Chinese has 鼻 *bjiɡ, distinct from the na-/ŋa- nasal initials in Austronesian and Kra-Dai for 'nose'. The resemblance is either due to inheritance or universals, not likely Sinitic contact.",v1
study2,007,eat,"concept=eat; shared_shape_notes=Extensive recurrence of 'kan', 'kən', 'kin', 'kɯn', 'ka:n', and similar CVN patterns in both bags, with a high frequency of 'k' + vowel + nasal coda sequences in each set.",4,2,into_kra_dai,"Old Chinese 吃 *kʰjɨt or 食 *ɡər, neither of which neatly fit a *kan 'eat' root in Austronesian/Kra-Dai. However, contact among southern Sinitic and Kra-Dai may have produced some convergence. Direct Sinitic loan is unlikely.",v1
study2,011,water,"concept=water; shared_shape_notes=Widespread 'nam/num/nom' shapes (CVm, CVCm, CCVm) found in both bags; bag_b has multiple forms with 'nam', 'num', 'nom', 'nanum', 'zanum', 'lanum', 'danum', etc.; bag_a features many 'nam', 'nâm', 'nham', 'namʔ', 'na:m', 'nom', 'num', and similar forms.",4,1,not_applicable,The 'nam/num' root for 'water' in Austronesian and Kra-Dai does not align with the Sinitic root 水 *sjwijX. The similarity is more likely due to inheritance or internal development.,v1
study2,038,bite,"concept=bite; shared_shape_notes=widespread recurrence of k-t (kat, kət, kɨt, kɨt, kɔt, kad, kax, kagat, kəm-, koma-, kimi, kate, etc.), k-p (kap, khap, hap, hop, khăp), and k-n or kɲ/kȵ (kan, ka:n, kaña) patterns across both bags",4,2,not_applicable,No clear Old Chinese comparandum for 'bite' with a k-t or k-p structure. Sinitic forms like 咬 *ŋrawʔ do not match the observed pattern; loan from Chinese is unlikely.,v1
study2,101,shoulder,"concept=shoulder; shared_shape_notes=Repeated CV-VCV/CV(V)/CVC shapes with b/p/v/w (labials) and a-like vowels in both bags; simple initial+a+labial structures (e.g. ba, pa, wa, va) recur widely; sequences like 'ba', 'va', 'pa' ~ 'ʔba', 'ho/ha', and 'ma' appear across both sets.",4,2,not_applicable,"The shared forms for 'shoulder' are built from common CV or CVC templates with labials and a-like vowels, but no clear Chinese etymon aligns with this. Such patterns are easily due to phonotactic preferences or nursery structures, making a Chinese loan unlikely.",v1
study2,107,mother,"concept=mother; shared_shape_notes=Widespread recurring nV, nai/nei, na/nia, me/mi, and ma~na patterns across both bags.",4,1,not_applicable,"Words for 'mother' with ma-/na- or similar combinations are classic nursery forms cross-linguistically; Chinese also has 'ma' for 'mother,' but this is likely due to universals in language, not borrowing.",v1
study2,119,this,"concept=this; shared_shape_notes=Extensive recurrence of ni, nai, nei, nii, nen, and nan shapes across both bags; many C-initial + ni/nei/nai/nin forms.",4,1,not_applicable,The ni-/nai-/nei- forms for 'this' are ubiquitous deictics in many language families and also occur independently in Sinitic and beyond; such forms are highly prone to convergent evolution and are not strong evidence for Chinese loaning.,v1
study2,163,we,"concept=we; shared_shape_notes=Strong recurrence of CVVC/VVC shapes with t/k initial and a/u/i vowels across both bags, notably forms like 'tau', 'lau', 'toi', and 'kat-/kit-/tik-/ita' sequences in both sets. Many forms cluster around (C)(i/u/a)t(a/u/o) and identical syllable sequences (e.g., 'tau', 'lau', 'kita', 'ita').",4,3,into_kra_dai,"The 'tau/lau/kita' cluster resembles Old Chinese 我 *ŋˤajʔ, 汝 *nruʔ, and inclusive/exclusive patterns seen in regional contact, but direct borrowing into Austronesian is unlikely. Kra-Dai forms suggest some potential Chinese influence, but internal development can't be excluded.",v1
study2,172,blowofwind,"concept=blowofwind; shared_shape_notes=Frequent sharing of p/b/f/v and u/i/o vowel patterns, especially C-u/i-p/F roots (e.g., 'hip,' 'jəp,' 'zəp,' 'piu' in bag A and 'jup,' 'mi'úp,' 'iupɨn,' 'yip,' 'uvup' in bag B), plus some strong overlap in forms with final -p, -f, or -v endings.",4,2,not_applicable,"The overlap of labials and rounded vowels for 'blow (of wind)' reflects basic phonosemantic mimesis and is common globally. Chinese (e.g., 'fēng') does not closely match these patterns, making loan involvement unlikely.",v1
study2,180,bedeadordie,"concept=bedeadordie; shared_shape_notes=Extensive recurrence of CV(V)C and CVCV strings with t/i, m/a, t/a elements; widespread 'mat-', 'pat-', 'tai', 'maCai', and 'mati/matey' motifs in both bags.",4,4,into_kra_dai,"The presence of 'tai', 'pat', and 'mati' etc. evoke Mandarin 死 sǐ, Tai *taiA ‘to die’, and historical Sinitic influence is probable in Kra-Dai, where 'tai' for 'die' aligns with attested Chinese contacts. Less plausible for Austronesian, but a loan into Kra-Dai from Chinese is reasonable to suspect.",v1
