comparison_id,concept_id,generosity,shared_shape_notes,reasoning,n_tk_forms,n_an_forms,permutation_id,an_source_concept_id
012,tooth,1,none noted,"The word-forms in bag_a and bag_b show almost no recurring segmental shapes or consonant-vowel (CV) skeletons across multiple entries in both bags. Bag_a is dominated by forms with medial or ending -an, -ən, -au, -eu, often with initial f-, h-, j-, v-, k-, while bag_b features many forms centered around bi-, vi-, and bu-, and numerous forms with -tu-, -tin, -tan endings, none of which are well-represented in bag_a. No widespread, plausible shared shapes are found across both bags.",40,80,1,star
013,star,2,"Some weak recurring shapes: forms with initial 'la-', 'la:', 'la.u', also second syllables in -ŋ/-n, a few 'da-' or 'ɗa-' initial forms, and rare overlap in 'lo' or 'lau' sequences. Occasional similar syllable structures, but little consistent patterning across both bags.","A few shapes occur in both bags—such as initial 'la-', 'la.u', and second syllables ending in -n or -ŋ—but these are not consistent or widespread, and overall segmental correspondences are weak and sporadic. Most recurring patterns in bag_a (e.g., 'ɗaw', 'da:u', 'la:u') do not find multiple or robust matches in bag_b. Thus, hypothetical cognacy is not promising, but some accidental resemblance exists.",36,80,1,beloworunder
014,bird,2,"Some overlap in CVk/CVk-like clusters (e.g., nok/nuk/nok/nɔk ~ ŋok, ngus, ŋo, ngo) and some nasals + velar or labial sequences, but no systematic, frequent, or widespread shared phonological shapes.","While both bags feature forms with initial nasals, k/g endings, and occasionally CVk and CVC structures, the detailed segmental patterns and root shapes differ significantly and systematic, recurrent shape matches across both bags are not observed. The few similarities seem superficial and may be accidental without further, more consistent patterning.",33,80,1,mouth
015,fish,2,"Some shared CVCV and CVCVCV patterns, notably forms with mV(V/C) and k/t/p plus -a and -u elements in both bags, but recurrent, systematic stem similarities are scarce.","Bag_a displays many forms with initial m- or p-/pl-/pj- clusters and -a/-u vowels (e.g., 'mam', 'pja', 'plaa'), while bag_b is rich in forms with i/a/u vowels, initial k-/t-/m- sequences, and certain reduplicating or alternating CV frameworks. However, strong, recurring, segmental lookalikes across the majority of items in both bags are limited, leading to only a weak suggestion of possible cognacy on shape alone.",25,80,1,we
016,red,1,none noted,"Bag A prominently features forms with -a:n, -a:n., -iŋ, or -eŋ codas and CVN syllable structures, which are frequent across the set. Bag B's forms, by contrast, center around much more complex, often polysyllabic structures with clusters and reduplication (e.g., kakali, komowih, makko:kko:k), with no clear segmental echo of Bag A's core shape. There is no widespread shared shape or recurring skeleton observable between the two bags.",35,80,1,dig
017,good,1,none noted,"The forms in bag_a are overwhelmingly monosyllabic or disyllabic with shapes like (C)V, (C)VC, or initial clusters, while bag_b is dominated by longer, complex, multisyllabic forms and shows very different consonant and vowel patterns. There are no recurring segmental skeletons or clear correspondences that appear widespread in both bags.",33,80,1,hit
018,black,1,none noted,"Bag A contains many short forms centered on sequences like dam, nam, lam, and similar monosyllables, often preceded by n-, l-, ʔ-, or d-/ɗ-. Bag B has overwhelmingly longer, polysyllabic forms, many with -k-, -g-, -t-, or -p- medials or finals, and an abundance of longer clusters and affixes. There are no recurrent shapes that plausibly link multiple forms across both bags.",30,80,1,split
019,mouth,1,none noted,"Bag A shows a high recurrence of forms with p/b + a + k, p/b + a + m, and variants like 'pak', 'paak', 'pam', 'mom', and 'sop', all with simple CV(C) shapes and frequent final stops or nasals. Bag B, by contrast, is dominated by forms featuring tu(b/p/u), tubo, tum, and more complex polysyllabic structures, plus numerous forms with u/o and medial b/m, but does not display systematic CV(C) similarity in recurring shapes or patterns with Bag A. No promising widespread shape matches are noted between the two bags.",27,80,1,grow
020,big,2,"Some loose similarity between CVC, CVCV, and disyllabic patterns with laterals (/l/) and nasals (/ŋ/), but substantial differences in structure; some recurring -lu/-lo-/luŋ in bag_a vs. -lu/-lo- in bag_b, but low consistency.","Both bags display a range of syllabic structures, but bag_a is dominated by forms with onset liquids (l-, ł-, lo-, lu-, la-, etc.) often with matching codas (e.g., -ŋ, -u), whereas bag_b displays repeated patterns involving -lo-, -lu-, and -to-, sometimes with an onset t-. There are superficial echoes such as luŋ/luŋ vs. tulu/tolu, and some loŋ/lo-based forms, but the segmental similarities are weak, and the correspondences don't appear systematic or frequent enough to suggest strong hypothetical cognacy.",31,80,1,three
021,bone,1,none noted,"The segmental shapes in bag_a are dominated by forms with k/l/n/d/u/k syllables and many CVC or CV:k patterns, especially with 'k' or final stops, often with vowels like 'u' or 'a.' In contrast, bag_b displays much greater diversity in syllable structures and consonant/vowel combinations, and lacks any widespread or recurring segmental patterns that could plausibly match those in bag_a. No promising recurring segmental shapes are evident across both bags.",40,80,1,needleforsewing
022,neck,2,"Some isolated overlap in syllable shapes like CVN/CVC (e.g., kam/kan/gan, tam/tan), and presence of nasal+vowel+stop/sonorant structures in both; match of open syllables with final nasals/liquids is rare but not systematic.","Most forms in bag_a show frequent use of initial k-/ʔ-/z- with simple or diphthongal nuclei, some featuring nasal codas (e.g., kan, wan, zoŋ, lan). Bag_b is dominated by m-/n- initial forms and repeated ma- or na- prefixes, with much longer polysyllabic structures and little segmental overlap except possibly in rare syllables like kam/kan/gan, wan, or tam/tan. Recurring patterns do not line up consistently or with regularity, and apparent resemblance is mostly due to common syllable structures found globally.",27,80,1,sharp
023,drink,2,"Some overlap in simple CV and CVC (e.g. kin/kin, forms ending in -n or -ŋ), some nasal-final shapes, and a few CV:V patterns, but no clear widespread pattern across both bags.","There are a few coincidental matches, notably 'kin' in both bags, and some general similarities in format (e.g., CVC, CV:V, initial k-, n-, m-, ŋ-, h-, s-, and finals -n, -ŋ, -m), but many of these are very common shapes cross-linguistically. Recurring, specific segmental patterns are not broadly evidenced across both bags. Most similarities appear isolated rather than systematic or widespread.",40,80,1,if
024,what,2,"Some vague recurrence of CV+ma/CV+maŋ in bag_a; some resemblance to forms with -ma, -ŋaw, -ŋan, -ŋai, or similar in bag_b, but overall weak and inconsistent.","Bag_a features recurring shapes like ni/ka/ɗa/tu/ki +ma(+ŋ), maŋ, and CV+la/ra, while bag_b contains a few forms ending in -ma, -ŋaw, -ŋan, or -ŋai, as well as some CV+ra or CV+ŋ, but strong correspondences are lacking. The resemblance is suggestive in a few cases due to nasal-final syllables and similar consonant-vowel patterns, but such forms are neither regular nor abundant across both bags. Overall, the evidence for widespread shared shapes is weak.",40,80,1,say
025,skin,2,"Some recurring VC patterns (e.g., forms with 'naŋ' or 'ŋ' codas in bag_a, and forms with 'ŋ' codas in bag_b like 'húliŋ', 'huliŋ'), but overall dominant CV skeletons diverge. Weak overlap in segmental structure; shared elements occur in isolated items not widely across both sets.","There are a few phonological elements with superficial similarity (e.g., nasal codas like '-ŋ' occur in both bags, loose presence of CVCV skeletons), but the majority of forms do not show consistent or recurrent segmental structures that could suggest widespread shape similarity. Any apparent resemblances are limited, scattered, and not systematic across multiple items in both bags.",23,80,1,dog
026,name,1,none noted,"Bag A shows several forms with an 'mVŋ' structure, and another group of nasal or lateral-initial forms, while Bag B is dominated by 'bVlan', 'buran', 'bulan', 'bul-', and 'fula' forms. Cross-set, there are no recurring segmental skeletons or consistent consonant/vowel frameworks between both bags, and no widespread shared phonological shapes emerge even with generous correspondences. Thus, the hypothetical cognacy potential is minimal.",38,80,1,moon
027,who,2,"Some recurrence of CV patterns like ma-, la-, ba-, ka-, and presence of nasal+vowel syllables in both sets; both have some V-final syllables and /a/ vowels. However, there are no strongly regular, repeated consonant-vowel skeletons matched in detail across both bags.","Despite a few similar initial syllables (ma-, la-, ba-) and the general presence of nasal and liquid-initial forms in both bags, these are common and not paired with distinctive shared skeletons that recur widely. Most forms differ notably in their consonant clusters, syllable count, and overall shape, suggesting only minimal promise for cognacy based on form alone.",40,80,1,long
028,egg,1,none noted,"Bag A is overwhelmingly dominated by monosyllabic or simple disyllabic forms featuring a high consistency of 'kai', 'cai', 'saj', 'kjai', etc. Bag B contains mostly longer, polysyllabic forms with different consonant and vowel patterns. There is no recurring segmental shape or skeleton across both bags, and no widespread cross-bag similarity is visible.",40,80,1,big
029,earthsoil,2,"A few similar syllable shapes and nasals: some outputs in both bags show forms with prominent n, m, and vowel nuclei (e.g., nam, nai, naːm in bag_a; minai, binanau, binɔ, binie in bag_b). Also a few forms with initial or medial v/f and n/m. However, correspondences are inconsistent and not widespread, and overall structure and phonotactics differ considerably across the sets.","Both bags contain several forms with nasals (n-, m-) and similar (C)V(C) structures, sometimes with -n/-m codas or vowels like a/i/u. There are intermittent echoes (e.g., nam/naːm versus minai/binanau/binɔ), but these are not systematic or widespread, and most forms do not match. No strong recurring shared patterns across the majority of items, so only weak hypothetical cognacy on shape alone.",31,80,1,wife
030,root,1,none noted,"Bag A displays heavy recurrence of forms with -ak or -a:k codas (e.g., lak, la:k, ra:k, ha:k), and many with CVC shapes, especially with medial or coda k or ŋ. Bag B, however, overwhelmingly shows various CV and reduplicated forms, most frequently with -pi, -p, -m, -n, or -l endings, as well as a number of trisyllabic or more complex items, but no clear recurring shape that matches Bag A's dominant patterns. No convincing segmental correspondences or recurring shared skeletons span both bags.",37,80,1,dreamsomething
031,tail,1,none noted,"There is a lack of recurring segmental shapes between the two bags. Bag A has many forms with clusters such as -ŋ and -t, and a prevalence of forms ending in -ŋ; Bag B displays a wider diversity of forms and endings (including -t, -k, -s, and some reduplication), but does not present repeated patterns that could align robustly with those from Bag A. There is no clear pattern of widespread similar skeletons across the two sets.",40,80,1,sea
032,new,2,"Isolated resemblances: CVVn (e.g., 'ma:n', 'pa:n', 'pa:ŋ' vs. 'mara', 'dazán', 'dara'), a few similar CVCV(C) items ('mai', 'meme', 'mia', 'mama', etc.), but most forms do not show consistent patterns across both bags.","While each bag contains forms with 'ma-', 'pa-', and open syllables with nasals and liquids (e.g., 'ma:n', 'mai', 'meme' vs. 'mia', 'mara', 'dara'), these are relatively basic shapes likely to occur by chance and are not widely or systematically mirrored in both lists. A few similarities exist, but there is no compelling pattern of recurring segmental correspondences to justify a generous score.",21,80,1,red
033,liver,1,none noted,"Bag A contains a tight cluster of forms with a basic CVC structure centered around 'tap', 'tɐp', 'tɑp', and similar, with consistent initial stops and final stops. Bag B, however, presents mostly longer, more complex or nasal-heavy forms with diverse segment structures. No recurring segmental patterns or C/V skeletons are shared widely between the two bags.",19,80,1,black
034,come,2,"Some overlap in forms with initial m-, medial/labial nasals, and forms containing -ŋ or -ŋə- in both bags; possible recurring 'taŋ/tau' and 'ma' shapes in bag_a, and pervasive m-, ma-, and nasal content in bag_b. However, no widespread or precise shape matches across multiple items.","There are some superficial similarities—particularly the presence of m-, ma-, and nasal sequences (such as -ŋ or -n-) in both bags, and a couple of rough matches for syllable shapes like 'taŋ/tau' and trisyllabic patterns. However, the bulk of recurring phonological patterns in each bag do not synchronously recur in the other, and most lookalikes are either single instances or generic (e.g., CV or nasal forms), so hypothetical cognacy is not strongly supported.",20,80,1,green
035,i,1,none noted,"The forms in bag_a predominantly feature initial glottal or velar onsets (ʔ-, k-, kh-, j-, ʁ-) followed by simple vowels or diphthongs, with numerous monosyllabic or disyllabic structures dominated by simple CV or CCV patterns. In contrast, bag_b is rich in CCV and CVCVCV shapes, many with medial liquids or nasals (r, l, n), and features a much wider variety of consonant clusters and word shapes. There are no clear, recurrent consonant/vowel skeletons or widespread segmental similarities across both bags, even among the most basic shapes.",30,80,1,earthsoil
036,thou,2,"Scattered forms with initial mV- (e.g., meɯ, mɐŋ, mamiaky, maru, manandaitsy, magpuga, momoog, moq), and some instances of -ŋ coda in both bags. Very limited other recurring shape overlap.","Both bags have several items that start with mV- (including with mid or central vowels), and a few with -ŋ final, but these patterns are quite common cross-linguistically. Overall, there is little evidence of widespread, distinctive shared shapes or repeated correspondences across the majority of the entries.",24,80,1,squeeze
037,long,2,"Isolated similarities in CV(V)i and CV(V)u patterns but no consistent, recurrent segmental shapes across both bags.","While both bags contain forms with i/u-final syllables and some CVV patterns, these types are very generic and widely attested. There is no clear recurring consonant or vowel skeleton linking multiple items from each bag; apparent similarities are likely accidental. Thus, these bags show weak promise for hypothetical cognacy on shape alone.",35,80,1,head
038,bite,1,none noted,"Bag A contains a high recurrence of monosyllabic, CVC structures featuring final -t or -p (e.g., kat, khap, kit, hap), whereas Bag B chiefly consists of longer, often polysyllabic forms, with frequent nasal codas (-ng, -n) and medial nasal or liquid segments. There are no clearly recurrent segmental patterns or skeletons recognizable across both bags, and no systematic correspondences are apparent from the raw forms.",32,80,1,nose
039,small,1,none noted,"There are no clear recurring shapes or segmental patterns that are widespread across both bags. Bag A is dominated by forms with nasal or lateral onsets plus high vowels or diphthongs, while Bag B is mainly composed of multi-syllabic forms with complex consonant clusters and little direct shape overlap. No plausible segmental correspondences or shared templates are apparent.",35,80,1,hide
040,two,2,"Frequent sV(C)ŋ and sV(C)oŋ forms in bag_a; bag_b contains some sV(C)l, sV(C)n, sV(C)r, su(C)V, and doŋ/do' forms, but overall shared segmental shapes are weak.","Bag_a displays a strong pattern of initial s-, θ-, or ɬ- followed by o/a/ɔ and a syllable ending in -ŋ (e.g., soŋ, sɔːŋ, θoŋ). Bag_b, however, lacks concentrated forms that strongly match this pattern, aside from a handful such as 'solöh,' 'saliao,' 'sulia,' and 'sulai,' which show some initial s- and lateral/vowel sequence, and 'doŋ' that matches on -ŋ, but overall similarity is not robust or recurrent across both sets.",30,80,1,burn
041,white,1,none noted,"Bag A contains numerous forms with CV:V or CVC syllabic patterns, notably a strong recurrence of forms with 'khaw', 'hau', 'kha:u', and 'pak/pakʔ' types. Bag B, meanwhile, is dominated by forms featuring prevalent sequences like 'ni', 'ini', 'ina', 'na', or 'ti/te', distributed among CVCV, CV, and VCV patterns, with no shared prominent consonant-vowel structures apparent across both sets. Widespread, repeated forms in A do not match commonly repeated shapes in B, and no compelling segmental similarity is found.",25,80,1,this
042,head,2,"Potential overlap in 'kau/kau/kaːu/kjau/cau/kɐu/gau/rau/gwou' in bag_a and 'wøl/wœl/bulbulau/vol/βol/ful/veli/bakalán/baklon' in bag_b (CVu/au/l endings and initial labials or velars); some shared open syllables and liquid endings, but no robust widespread pattern.","Some surface similarities are visible in the recurring 'au', 'u', 'ou' syllables and final -l or -n in both bags, especially in bag_a's many forms with -au and bag_b's forms like 'bulbulau', 'wøl', 'βol', 'bakalán'. However, these could easily arise independently from common word shapes. Overall, there is no strong, systematic or widespread pattern of shared shapes to suggest high likelihood of hypothetical cognacy.",27,80,1,buy
043,moon,1,none noted,"There are no clear, recurrent segmental patterns or phonological structures shared between the two bags. Bag A is dominated by forms with nasal codas (e.g., -n, -ŋ), medial glides, and syllable structures like (C)V(C), while Bag B includes more varied and complex consonant clusters, a prevalence of glottal stops, and distinct morphological templates. No widespread or systematic similarities in shape are observed across multiple items.",40,80,1,near
044,sand,1,none noted,"Bag A is heavily dominated by forms featuring initial s-, sa-, or similar fricative patterns and syllable shapes like -aj, -ai, -a:j, recurring across numerous items, while Bag B is dominated by complex roots involving k-, m-, t-, and CVCV/CVCC structures, especially forms with -kat, -gat, -mat, -rat, etc. There are no recurring segmental shapes, onsets, or rhyme patterns that systematically appear in both bags. Isolated surface similarities are not enough to suggest hypothetical cognacy based on shape.",27,80,1,bite
045,leaf,2,"Some recurrence of initial ʔb-/b-/ɓ- in bag_a and a-w/v/j- sequences in bag_b; vague resemblance in CVV or CVCV structures and presence of nasal finals in both, but no persistent shared skeletons across multiple items.","There is a general tendency in both bags toward open syllables with glides, nasals, and mid vowels, and clusters like ʔbV(V), bV(V), and ɓV(V) in bag_a somewhat resemble bag_b's (a/w/v/j)V and iVg/n/k patterns. However, there are no robust, widespread recurring segmental skeletons or systematic correspondences, and most shapes appear dissimilar. Only sporadic, superficial resemblances exist.",29,80,1,thou
046,sleep,1,none noted,"Bag A features a strong prevalence of CVN and CVC nasal-final forms, with many instances like nɔn, nun, non, nən, and similar variants, while Bag B contains a wide variety of multi-syllabic, largely CVCV and CVCVC, forms without a clear concentration on nasal-final structures. Recurring patterns or promising correspondences are not observed across both bags.",30,80,1,feather
047,cold,1,none noted,"There are no clear, widespread recurring segmental shapes between the two bags. Bag A is rich in monosyllabic forms with nasal or plosive codas (e.g., nit, kat, ŋaːŋ, sit), while Bag B generally features longer, often polysyllabic sequences with /b/, /p/, or /m/ onsets and more varied, complex syllables. No consistent root shapes or correspondence patterns appear across both bags.",38,80,1,white
048,flymovethroughair,2,"Sporadic occurrence of 'bin', 'ban', 'bɪn', 'vin', and 'pjVŋ' in bag_a; bag_b features scattered 'an', 'in', 'ian', and forms like 'butiŋ', 'tiaŋ', 'diaŋ' but generally lacks strong overlap with bag_a's segmental shapes.","Bag_a displays significant internal recurrence of forms with 'b/v + i/n', 'p/v + in', and 'pj/piŋ', suggesting a rich internal pattern. Bag_b contains a few forms, such as 'butiŋ', 'ian', 'dian', and 'tiaŋ', that echo some vowel/consonant clusters seen in bag_a, but these are isolated and not systematically aligned across the sets. Overall, potential for hypothetical cognacy exists based on faint phonological similarities, but there is not enough widespread recurring overlap between the bags to warrant a higher score.",32,80,1,fish
049,dry,1,none noted,"There are no compelling or broadly recurring phonological patterns between the two bags. Bag A is dominated by forms showing initial h-, kh-, k-, s-, and open syllables often ending in -u/-au/ŋ, while Bag B has a preponderance of CV syllables, frequently with medial or final -l-, -m-, -n-, and many instances with -ay, -ma, and -le. There is no consistent or widespread alignment in shape to support promising hypothetical cognacy.",33,80,1,house
050,hand,2,"Some nasal-initial disyllabic forms (e.g., 'mja', 'mia', 'mie', 'meɯ', 'mŭŋ' in bag_a; 'moma', 'make', 'maliit', 'masay' in bag_b). Occasional shared CV structures and final -ŋ/k/t in both sets, but correspondences are inconsistent and overlap is weak.","While both bags contain some forms with initial m- plus vowel, and some final nasal/velar stops, there is little consistent pattern or recurrent segmental parallelism with plausible correspondences. The similarities (such as 'mia' vs 'moma', 'mŭŋ' vs 'moma') are superficial, and the majority of forms do not align in shape. Generosity is scored low due to scattered overlaps, lacking clear widespread or systematic shape matches.",26,80,1,small
051,kill,1,none noted,"Bag_a consists mainly of monosyllabic or disyllabic forms with many simple CV or CVC syllables, often with initials like 'kh-', 'k-', 'p-', or 'f-', and some nasal finals. Bag_b predominantly features much longer and more complex forms, frequently polysyllabic with clusters and differing phonotactic patterns. No recurring phonological shapes or skeletons are broadly shared between the two bags.",13,80,1,lightning
052,yellow,2,"Some resemblance in CVN forms ending in -n or -ŋ (e.g., 'ŋa:n', 'hen', 'he:n', 'jeɛn' vs. 'siam', 'syam', 'siám', 'sio', 'sia', 'siw'), and weak overlap in presence of s- or h-initial syllables, but overall agreement is limited and inconsistent.","There is a limited set of similar syllables, especially CVN shapes, and repeated s/h-initial syllables in both bags, such as 'hen', 'he:n', 'jeɛn', and forms like 'siam', 'syam', 'siám' in bag_b. However, most items do not align well in segmental structure, and recurring shape matches are superficial and scattered; broad, consistent patterns expected of strong hypothetical cognacy are lacking.",32,80,1,nine
053,person,2,"Some superficial overlap in forms with -n coda (e.g., kon, kun, hun / sin, tan, man) and syllabic shapes with m-, n-, k-, s-initials; repetitive 'n'-final CVN structures in both bags, but correspondences are not systematic or widespread.","Bag A is dominated by CVC forms with nasal codas (e.g., -n), especially with initial stops or w-/h-initials, while bag B is much more diverse, including CVCV, CVN, and other shapes, but also has a number of forms with -n or -m endings and sibilant-initials. There are a few chance overlaps in sound shapes (e.g., kon~sin, ma~masen) but no clear systematic sound correspondences or recurrent patterns that would suggest strong hypothetical cognacy, thus only a weak resemblance on segmental shape.",38,80,1,salt
054,all,2,"Some resemblance in CVC, CVN, and nasal-final forms (e.g., 'taŋ', 'talun', 'tanon', 'no-won', 'nahele', 'tamatua', 'tutu'), but no widespread recurring sequence or root segment structure. A few forms with -n, -ŋ, or -m finals in both bags, and some overlap in initial ta-/tu- sequences.","Though both bags include some CVC and CVN-type forms with nasals and some forms beginning with ta-/tu-, these similarities are relatively superficial and distributed widely among unrelated-looking items. There are no clear systematic correspondences nor recurring root shapes evident across both sets. Overall, the shape similarity is weak and possibly coincidental.",40,80,1,forest
055,swim,2,"Limited recurring shapes. Some isolated overlaps in forms with medial/labial approximants (e.g., wa-, fa-, hua-, huwa-, wai in bag_a vs. wa-, -wa, huwa-, -wu, -wa in bag_b), and some 'tak/tap/takawa' to 'tak/taku/tapu' possible resonances, but overall no widespread or systematic segmental patterns across both bags.","There are a few isolated clusters that show a resemblance in labial glide strings and some CV skeletons like 'tak'/'tap'/'takawa' vs. 'tak'/'taku'/'tapu', but these do not appear widespread or systematic across the bulk of each bag. Most forms differ substantially in structure, so hypothetical cognacy is only weakly supported by shape alone.",40,80,1,fall
056,cloud,2,"Isolated overlaps such as CV-CVC and CVCVC shapes; some recurring elements like 'fa', 'mɔk', 'faʔ' in bag_a and 'fa', 'faʔ', 'fa', 'm-' or 'ma-' beginnings in bag_b, occasional similar sequences like 'muk', 'mok', 'buk', 'kuk', but no widespread consistent patterns.","Overall, the segmental shapes in each bag show only sparse and superficial similarities. Both bags contain common phonological patterns such as CVC and CV syllables and some items with similar clusters like initial 'm-', 'fa', or CVC endings like '-k', but these are broadly cross-linguistically frequent. No convincing, repeated, and specific shape correspondences are apparent across multiple items in both sets.",28,80,1,stab
057,breast,3,Recurring ti-/tsi-/tɕi- and na-/nɛ-/nin- shapes appear in both bags; especially ti/tsi-na/nɛ- forms are common across many items in both sets.,"Both bags show frequent ti/tsi/ʧi~/tɕi and na/nɛ/ni elements in various combinations (e.g., 'tiu', 'tinaqi', 'tinaʔi', 'tini-', 'tinaɪ', 'nɛ:n', 'na:', 'n̪aa', 'nɔŋ', 'tne', etc.), which recur across multiple forms in each set. This widespread segmental pattern, despite phonetic diversity elsewhere, suggests some potential for hypothetical cognacy rather than chance resemblance, though perfect segmental matches are sparse.",23,80,1,intestines
058,green,2,"Some weak similarities in CVC or CVV skeletons, e.g., forms with ja/je/jau in bag_a and ja, aia, ava, iava in bag_b; also some si/sa and he/hea elements, but these are not consistently mirrored or recurring widely across both bags.","There are a few superficial resemblances in segmental shapes, particularly in the presence of forms with initial 'j', 'h', or 's' followed by similar vowels, and some potential correspondences in 'ja~ia~ava' sequences. However, these similarities are isolated and do not recur broadly in both bags, making strong hypothetical cognacy on shape alone unlikely.",32,80,1,where
