pair_id,gloss,pan,pkd,pan_len,pkd_len,abs_delta_len,pan_length_band,sca,ned,sca_hit,ned_hit
035_fart,fart,*qətut,*k[a/ə]tu2t,5,6,1,5,0.02499999999999991,0.3333333333333333,1,1
036_fingernail,fingernail,*kuSkuS,*CV-lep,6,5,1,6,0.8574898785425101,1.0,0,0
037_fire,fire,*Sapuy,*apuy,5,4,1,5,0.22461538461538466,0.2,1,1
038_five,five,*lima,*ɭVmaː,4,5,1,4,0.4011834319526627,0.6,0,0
040_flow,flow,*qaluR; *qaNud; (PMP *qaRus; *qaliR; *saliR),C̥V-luy,36,6,30,ge20,1.0113207547169811,0.9722222222222222,0,0
041_foot1,foot1,*[w/q]aqay,*tiːn,6,4,2,6,0.9408284023668639,1.0,0,0
042_foot2,foot2,*[w/q]aqay,*kok,6,3,3,6,0.39644970414201186,1.0,1,0
044_fruit,fruit,*buaq,*CV-maːk,4,6,2,4,0.4923076923076922,0.8333333333333334,0,0
045_full,full,*pəNuq,*C[lab]V-tiːk,5,9,4,5,0.7062937062937062,1.0,0,0
046_hand,hand,*qalima,*C-iməː,6,5,1,6,0.4174358974358975,0.8333333333333334,0,0
048_head,head,*quluh,*kuɭuː,5,5,0,5,0.18681318681318682,0.6,1,0
049_hold_grab,hold; grab,*-[g/k]əm,*N-kamᴬ,4,5,1,4,0.3142857142857143,0.6,1,0
050_hole,hole,*buhaŋ; *kalih; *lubaŋ (burial pit),*ɟoːŋ,28,4,24,ge20,1.0146520146520146,0.9642857142857143,0,0
055_leaf,leaf,*waSaw,*bəː,5,3,2,5,0.8671328671328671,1.0,0,0
059_lick,lick,*dilaq,*liːm,5,4,1,5,0.7230769230769232,0.8,0,0
060_liver,liver,*qaCay,*tap,5,3,2,5,0.7496503496503497,0.8,0,0
061_loom_weave,loom; weave,*qatip (part of loom); t[i/ə]nun (weave),*uʈəːk,27,5,22,ge20,0.9606003752345216,0.9629629629629629,0,0
062_louse,louse,*kuCu,*C-uʈuː,4,5,1,4,0.2666666666666666,0.6,1,0
064_moon,moon,*bulaN,*buɭaːl,5,6,1,5,0.25,0.5,1,0
065_mushroom,mushroom,*kulaC (bracket fungus); *bajiw; *quSuŋ,*C-uret,32,5,27,ge20,0.9062678062678063,0.875,0,0
066_navel,navel,*puja,*C[lab]udəː,4,8,4,4,0.6868778280542986,0.875,0,0
068_new,new,*baqəRuh,*C̥-maːl,7,6,1,7to9,0.8658119658119658,1.0,0,0
069_nine,nine,*siwa,(*s(i)waː),4,6,2,4,0.058974358974358876,0.3333333333333333,1,1
070_nose,nose,*ujuŋ,*(ŋ)-V[+H]daŋ,4,7,3,4,0.7583710407239819,0.8571428571428571,0,0
071_one,one,*isa,(*icəː),3,5,2,le3,0.28076923076923077,0.8,1,0
073_outside_go_outside,outside; (go outside),*NataD,*oːk,5,3,2,5,0.9552447552447553,1.0,0,0
076_pig,pig,*babuy; *bəRək,*xVmuː,12,5,7,10to19,0.9516483516483516,0.9166666666666666,0,0
078_rain,rain,*quzaN; *salaw,*CV-pu1n,12,5,7,10to19,0.8283076923076923,0.9166666666666666,0,0
081_road,road,*zalan,*c-ugu2n,5,5,0,5,0.4,0.8,1,0
082_scale_skin,scale; skin,*qaNiC,*kalec,5,5,0,5,0.2749999999999999,0.6,1,0
083_seed,seed,*binəSiq; *Rahap,*ipan,14,4,10,10to19,0.8449230769230769,0.8571428571428571,0,0
084_seven,seven,*pitu,*CV-tuː,4,5,1,4,0.4650887573964497,0.6,0,0
087_shoulder,shoulder,*qabaRa,*CV-baː,6,5,1,6,0.6509615384615385,0.6666666666666666,0,0
090_six,six,*(x)ənəm,*xən[a/ə]m,5,6,1,5,0.02499999999999991,0.16666666666666666,1,1
091_skin,skin,*kuliC,*CV-nəŋ,5,5,0,5,0.8479638009049774,1.0,0,0
093_sky,sky,*Rabun,*C-bu1n,5,4,1,5,0.45641025641025645,0.4,0,1
094_snot,snot,*ŋuSuR,*muːk,5,4,1,5,0.8378698224852071,0.8,0,0
096_stand,stand,*diRi,*CV-ɟuːn,4,6,2,4,0.8471794871794872,1.0,0,0
098_steal,steal,*Cakaw,*C̬ilakᴰ,5,7,2,5,0.525,0.7142857142857143,0,0
100_stone,stone,*batu,*ʈiːl,4,4,0,4,0.6699300699300699,1.0,0,0
101_sweet,sweet,(PMP *həmis),*CV-waːl,9,6,3,7to9,0.9096989966555185,1.0,0,0
102_tail,tail,*(k)ikuR,*CV-cu1t,5,5,0,5,0.7085972850678732,0.8,0,0
104_this,this,*-ni,*niː,2,3,1,le3,0.0,0.3333333333333333,1,1
105_three,three,*təlu,*utuː,4,4,0,4,0.6476923076923078,1.0,0,0
107_to_fly,to fly,*layap,*CV-pil,5,5,0,5,0.9021978021978022,1.0,0,0
109_tongue2,tongue2,*Səma,*Səmaːᴬ,4,6,2,4,0.0,0.3333333333333333,1,1
110_tooth,tooth,*[l/n/ŋ]ipan,*(l)ipan,7,5,2,7to9,0.25,0.2857142857142857,1,1
111_transplant_plant,transplant; plant,*CaNəm,*tVl(j)am,5,6,1,5,0.6421052631578947,0.8333333333333334,0,0
113_two,two,*duSa,*Vsaː,4,4,0,4,0.6223776223776224,0.75,0,0
114_village,village,*asaŋ; *taNaS,*baːn,11,4,7,10to19,0.8728744939271256,0.8181818181818182,0,0
115_vomit,vomit,*utaq,*utaːk,4,5,1,4,0.0,0.4,1,1
116_wash,wash,*basəq,*C-sak,5,4,1,5,0.5076923076923077,0.8,0,0
117_water,water,*daNum,*danam,5,5,0,5,0.02499999999999991,0.2,1,1
118_wing,wing,*paNi[d/j],*CV-piːk,6,6,0,6,0.848582995951417,0.8333333333333334,0,0
120_younger_siblings,younger siblings,*Suaji,*naɭoːŋ,5,6,1,5,0.8307692307692308,1.0,0,0
