rank,concept_id,name,concepticon_gloss,n_tk,n_an,min_langs,core_pilot
211,smellperceive,SMELL (PERCEIVE),SMELL (PERCEIVE),42,721,42,0
212,yawn,YAWN,YAWN,42,506,42,0
213,if,IF,IF,42,374,42,0
214,dance,DANCE,DANCE,42,88,42,0
215,thunder,THUNDER,THUNDER,41,854,41,0
216,cooksomething,COOK (SOMETHING),COOK (SOMETHING),41,678,41,0
217,shoot,SHOOT,SHOOT,41,594,41,0
218,cut,CUT,CUT,41,249,41,0
219,float,FLOAT,FLOAT,41,146,41,0
220,garden,GARDEN,GARDEN,41,114,41,0
221,arm,ARM,ARM,41,88,41,0
222,bathe,BATHE,BATHE,41,86,41,0
223,centipede,CENTIPEDE,CENTIPEDE,41,82,41,0
224,lazy,LAZY,LAZY,41,82,41,0
225,askinquire,ASK (INQUIRE),ASK (INQUIRE),41,81,41,0
226,ghost,GHOST,GHOST,41,80,41,0
227,hairhead,HAIR (HEAD),HAIR (HEAD),41,68,41,0
228,lightning,LIGHTNING,LIGHTNING,40,835,40,0
229,rainbow,RAINBOW,RAINBOW,40,100,40,0
230,bamboo,BAMBOO,BAMBOO,40,81,40,0
231,plantsomething,PLANT (SOMETHING),PLANT (SOMETHING),39,658,39,0
232,lake,LAKE,LAKE,39,593,39,0
233,turtle,TURTLE,TURTLE,39,82,39,0
234,fatorganicsubstance,FAT (ORGANIC SUBSTANCE),FAT (ORGANIC SUBSTANCE),38,659,38,0
235,man,MAN,MAN,38,155,38,0
236,far,FAR,FAR,37,882,37,0
237,in,IN,IN,37,484,37,0
238,we,WE,WE,37,255,37,0
239,say,SAY,SAY,36,893,36,0
240,hide,HIDE,HIDE,36,390,36,0
241,scratch,SCRATCH,SCRATCH,35,801,35,0
242,at,AT,AT,35,464,35,0
243,weexclusive,WE (EXCLUSIVE),WE (EXCLUSIVE),35,228,35,0
244,wipe,WIPE,WIPE,35,134,35,0
245,behungry,BE HUNGRY,BE HUNGRY,35,82,35,0
246,oldused,OLD (USED),OLD (USED),35,77,35,0
247,fearbeafraid,FEAR (BE AFRAID),FEAR (BE AFRAID),34,891,34,0
248,heorshe,HE OR SHE,HE OR SHE,34,728,34,0
249,branch,BRANCH,BRANCH,34,716,34,0
250,faecesexcrement,FAECES (EXCREMENT),FAECES (EXCREMENT),34,53,34,0
251,waitfor,WAIT (FOR),WAIT (FOR),34,48,34,0
252,spear,SPEAR,SPEAR,32,79,32,0
253,burn,BURN,BURN,31,851,31,0
254,no,NO,NO,28,87,28,0
255,blowofwind,BLOW (OF WIND),BLOW (OF WIND),27,869,27,0
256,old,OLD,OLD,26,797,26,0
257,suck,SUCK,SUCK,26,707,26,0
258,beloworunder,BELOW OR UNDER,BELOW OR UNDER,26,699,26,0
259,grow,GROW,GROW,26,372,26,0
260,twenty,TWENTY,TWENTY,26,330,26,0
261,smooth,SMOOTH,SMOOTH,26,141,26,0
262,piss,PISS,PISS,26,84,26,0
263,shitdefecate,SHIT (DEFECATE),SHIT (DEFECATE),26,75,26,0
264,eleven,ELEVEN,ELEVEN,26,38,26,0
265,twelve,TWELVE,TWELVE,26,37,26,0
266,hold,HOLD,HOLD,25,877,25,0
267,split,SPLIT,SPLIT,25,796,25,0
268,rub,RUB,RUB,25,144,25,0
269,chieftain,CHIEFTAIN,CHIEFTAIN,25,103,25,0
270,freshwatereel,FRESHWATER EEL,FRESHWATER EEL,25,91,25,0
271,breakdestroyorgetdestroyed,BREAK (DESTROY OR GET DESTROYED),BREAK (DESTROY OR GET DESTROYED),25,89,25,0
272,godowndescend,GO DOWN (DESCEND),GO DOWN (DESCEND),25,85,25,0
273,fishhook,FISHHOOK,FISHHOOK,25,84,25,0
274,sister,SISTER,SISTER,25,84,25,0
275,tobacco,TOBACCO,TOBACCO,25,84,25,0
276,goupascend,GO UP (ASCEND),GO UP (ASCEND),25,83,25,0
277,penis,PENIS,PENIS,25,83,25,0
278,family,FAMILY,FAMILY,25,82,25,0
279,nit,NIT,NIT,25,82,25,0
280,today,TODAY,TODAY,25,81,25,0
281,yes,YES,YES,25,81,25,0
282,after,AFTER,AFTER,25,79,25,0
283,soul,SOUL,SOUL,25,77,25,0
284,bald,BALD,BALD,25,76,25,0
285,club,CLUB,CLUB,25,73,25,0
286,ice,ICE,ICE,25,64,25,0
287,understand,UNDERSTAND,UNDERSTAND,25,40,25,0
288,thinofshapeofobject,THIN (OF SHAPE OF OBJECT),THIN (OF SHAPE OF OBJECT),25,39,25,0
289,fifteen,FIFTEEN,FIFTEEN,25,33,25,0
290,oldersister,OLDER SISTER,OLDER SISTER,59,24,24,0
291,pregnant,PREGNANT,PREGNANT,25,24,24,0
292,bedeadordie,BE DEAD OR DIE,BE DEAD OR DIE,24,805,24,0
293,because,BECAUSE,BECAUSE,24,137,24,0
294,flame,FLAME,FLAME,24,82,24,0
295,meet,MEET,MEET,24,81,24,0
296,beginorstart,BEGIN OR START,BEGIN OR START,24,78,24,0
297,mistake,MISTAKE,MISTAKE,24,77,24,0
298,animal,ANIMAL,ANIMAL,24,71,24,0
299,copulate,COPULATE,COPULATE,24,50,24,0
300,west,WEST,WEST,24,23,23,0
301,pound,POUND,POUND,23,564,23,0
302,here,HERE,HERE,23,142,23,0
303,thatch,THATCH,THATCH,23,106,23,0
304,oven,OVEN,OVEN,23,83,23,0
305,scrape,SCRAPE,SCRAPE,23,66,23,0
306,storm,STORM,STORM,23,31,23,0
307,cassava,CASSAVA,CASSAVA,23,24,23,0
308,sniff,SNIFF,SNIFF,23,23,23,0
309,sweetpotato,SWEET POTATO,SWEET POTATO,25,22,22,0
310,flyinsect,FLY (INSECT),FLY (INSECT),60,21,21,0
311,youngerbrother,YOUNGER BROTHER,YOUNGER BROTHER,42,21,21,0
312,daughter,DAUGHTER,DAUGHTER,41,21,21,0
313,son,SON,SON,41,21,21,0
314,canoe,CANOE,CANOE,21,109,21,0
315,earthquake,EARTHQUAKE,EARTHQUAKE,21,103,21,0
316,youngersister,YOUNGER SISTER,YOUNGER SISTER,43,20,20,0
317,boy,BOY,BOY,26,20,20,0
318,east,EAST,EAST,24,20,20,0
319,bealive,BE ALIVE,BE ALIVE,20,811,20,0
320,there,THERE,THERE,20,141,20,0
321,time,TIME,TIME,20,67,20,0
322,hot,HOT,HOT,63,19,19,0
323,cough,COUGH,COUGH,44,19,19,0
324,south,SOUTH,SOUTH,23,19,19,0
325,hit,HIT,HIT,19,815,19,0
326,pathorroad,PATH OR ROAD,PATH OR ROAD,19,773,19,0
327,worm,WORM,WORM,19,693,19,0
328,think,THINK,THINK,19,663,19,0
329,oldaged,OLD (AGED),OLD (AGED),19,76,19,0
330,with,WITH,WITH,19,61,19,0
331,run,RUN,RUN,45,18,18,0
332,lip,LIP,LIP,26,18,18,0
333,fence,FENCE,FENCE,25,18,18,0
334,north,NORTH,NORTH,23,18,18,0
335,child,CHILD,CHILD,18,935,18,0
336,stab,STAB,STAB,18,822,18,0
337,maleperson,MALE PERSON,MALE PERSON,18,812,18,0
338,stick,STICK,STICK,18,777,18,0
339,workactivity,WORK (ACTIVITY),WORK (ACTIVITY),18,776,18,0
340,fasten,FASTEN,FASTEN,18,742,18,0
341,swell,SWELL,SWELL,18,739,18,0
342,cutwithscissors,CUT (WITH SCISSORS),CUT (WITH SCISSORS),18,76,18,0
343,scorpion,SCORPION,SCORPION,18,65,18,0
344,womb,WOMB,WOMB,18,21,18,0
345,path,PATH,PATH,35,17,17,0
346,burnsomething,BURN (SOMETHING),BURN (SOMETHING),25,17,17,0
347,magic,MAGIC,MAGIC,20,17,17,0
348,banana,BANANA,BANANA,17,111,17,0
349,island,ISLAND,ISLAND,17,88,17,0
350,cape,CAPE,CAPE,17,75,17,0
351,finger,FINGER,FINGER,44,16,16,0
352,elbow,ELBOW,ELBOW,42,16,16,0
353,hairbody,HAIR (BODY),HAIR (BODY),40,16,16,0
354,oldman,OLD MAN,OLD MAN,26,16,16,0
355,oldwoman,OLD WOMAN,OLD WOMAN,26,16,16,0
356,maternalauntmotherssister,MATERNAL AUNT (MOTHER'S SISTER),MATERNAL AUNT (MOTHER'S SISTER),25,16,16,0
357,owl,OWL,OWL,24,16,16,0
358,rat,RAT,RAT,16,838,16,0
359,crocodile,CROCODILE,CROCODILE,16,83,16,0
360,taro,TARO,TARO,16,82,16,0
361,look,LOOK,LOOK,62,15,15,0
362,friend,FRIEND,FRIEND,59,15,15,0
363,carry,CARRY,CARRY,45,15,15,0
364,buttocks,BUTTOCKS,BUTTOCKS,44,15,15,0
365,take,TAKE,TAKE,43,15,15,0
366,lookfor,LOOK FOR,LOOK FOR,41,15,15,0
367,nasalmucussnot,NASAL MUCUS (SNOT),NASAL MUCUS (SNOT),41,15,15,0
368,heorsheorit,HE OR SHE OR IT,HE OR SHE OR IT,27,15,15,0
369,beside,BESIDE,BESIDE,26,15,15,0
370,throat,THROAT,THROAT,26,15,15,0
371,upperlegthigh,UPPER LEG (THIGH),UPPER LEG (THIGH),26,15,15,0
372,brother,BROTHER,BROTHER,25,15,15,0
373,daughterinlaw,DAUGHTER-IN-LAW,DAUGHTER-IN-LAW,16,15,15,0
