concept_id,gloss,generosity,is_nonhit_control,tk_segment,an_segment,context,support,confidence
blowofwind,BLOW (OF WIND),4,0,s/ch/ś/z,s,onset (affricates/fricatives),"TK: 'śui', 'chü', 'chui', 'zəp', 'cwi'; AN: 'siupe', 'siup', 'sibok', 'sap'ʔoy', 'su:pan'",3
blowofwind,BLOW (OF WIND),4,0,j,j,onset,TK: 'jəp'; AN: 'ju(p)',2
blowofwind,BLOW (OF WIND),4,0,au/iu/ui,iu/yu/u,vowel nucleus/diphthong,"TK: 'pau', 'piu', 'cwi', 'chui'; AN: 'siup', 'huyup', 'ma-ʔiup', 'iup', 'ju(p)'",3
eat,EAT,4,0,k,k,onset,"TK: ka:n, kɯn, kin, kɜn; AN: kan, kuman, kaʔen, kaʔun, makan, kɨʔɨn",5
eat,EAT,4,0,n,n,coda/final or in medial coda,"TK: kan, kin, kɯn, cen; AN: kan, makan, kuman, kanɨ, kaʔen",5
eat,EAT,4,0,a,a,nucleus (main vowel),"TK: ka:n, ca:n, kan; AN: kan, makan, kaʔen, maán",5
eat,EAT,4,0,i,i,nucleus (vowel) in some forms,"TK: kin, cin, ȶin; AN: mihomana, minana, miinana",3
eat,EAT,4,0,ts/c/ȶ/ć,k,"onset, possible affricate-to-stop","TK: tsie, tsia, cen, ćan, ȶia, ȶin; AN: kan, kuman",2
eat,EAT,4,0,k,ʔ,onset/coda (loss or identification with glottal),"TK: kan, kɯn; AN: kaʔen, kaʔun, kɨʔɨn",2
eat,EAT,4,0,ou/au,au,diphthongal nucleus (less common),"TK: lau2, lou2; AN: umau, maun",1
eye,EYE,4,0,t,t,"onset, main syllable","TK: ta, taa, t̪aa / AN: mata, matá, mataʔ, ma:táʔ",5
eye,EYE,4,0,a,a,"main vowel, core syllable","TK: ta, taa, tha, cha / AN: mata, matá, mataʔ, ma:táʔ",5
eye,EYE,4,0,th,t,"onset, voicing/aspiration variation","TK: tha, t̪aa / AN: mata, matá",3
eye,EYE,4,0,nd/ⁿd,d,"onset, nasal/voiced stop correspondence","TK: nda¹, ⁿda¹, luŋ+nda¹ / AN: doriq, doriʡ, ma.d",2
eye,EYE,4,0,pl/ch,m/b,"onset, potentially non-cognate or assimilative/nursery","TK: pla.¹, cha.¹; AN: mata, bulíga', b.o.t.u.n",1
eye,EYE,4,0,luŋ/lɤk/lək,lo/ro,"pre-syllable, compounding/expansion","TK: lɤk+ta, luŋ+nda / AN: loziq, roziq",2
mother,MOTHER,4,0,m,n,onset (root-initial),"TK: me, ma, mɛ, miə (Tai/Hlai); AN: ina, nay, nanay, ninaa (Formosan/WMP)",3
mother,MOTHER,4,0,n,n,onset (root-initial),"TK: nai, nəi, naːŋ, nie, ne (Kam-Sui/Kra); AN: ina, nay, nanay, ninaa (Formosan/WMP)",4
mother,MOTHER,4,0,ai/ei/ie/ɛ,a,nucleus/vowel,"TK: nai, nəi, nie, mɛ; AN: ina, nay, ninaa",2
mother,MOTHER,4,0,ma/mi/me,ina/ene/inaʔ,CVC skeleton (monosyllabic to disyllabic/echoic),"TK: ma, mi, me, mɛ; AN: ina, inene, mini (WMP/Shwng)",2
nose,NOSE,4,0,n,n,onset,"TK: naŋ, nɐŋ, nəŋ; AN: nuŋ, n'iruŋ, ngulóng, neabɔ",4
nose,NOSE,4,0,ŋ,ŋ,coda,"TK: naŋ, laŋ, daŋ, nɐŋ; AN: nuŋ, duŋ, ruŋ, sung, izuŋ, ʔiduŋ, suŋətan, taŋoanə",5
nose,NOSE,4,0,d,d,"onset, intervocalic","TK: daŋ, ʔdaŋ, ʔɗăŋ; AN: duŋ, ʔiduŋ, haʔˈduŋ",3
nose,NOSE,4,0,a,u/ɨ,nucleus before final ŋ,"TK: naŋ, daŋ, laŋ; AN: nuŋ, duŋ, ruŋ, sung, izuŋ, ʔiduŋ",3
nose,NOSE,4,0,l,r/l,onset (possible lateral/rhotic match),"TK: laŋ; AN: iróŋ, ngulóng, ilung",2
nose,NOSE,4,0,kh/h,h,initial obstruent,"TK: khak, khat, khu:; AN: haʔˈduŋ",2
shoulder,SHOULDER,4,0,ba,ba/baɡa,"CVC/CV skeleton, especially root or second element in compounds","TK: ʔba⁴⁵, ʔba.⁵⁵, ba:.⁵, ba.⁵, bàa, loŋ.²_ba.⁵, ho:.¹_ba:.⁵; AN: abaga, baga, abada, abáha, ʔabaxán, ʔabalaʔ",4
shoulder,SHOULDER,4,0,ho/lo,ha,"onset, across syllables in compounds or first element","TK: ho:.³_ma:.², ho:.¹_ba:.⁵, loŋ.²_ba.⁵, ho:.³_wa:.³; AN: haŋaliq, haŋaliʔ, hiraŋ, abáha",3
shoulder,SHOULDER,4,0,ŋ,ŋ,coda or second element,"TK: paŋ³³+ʔba⁴⁵, toŋ.³_ʔba.⁶, tuŋ.¹_ʔba.⁵, ʔoŋ²²+ma⁵⁵; AN: haŋaliq, haŋaliʔ, hiraŋ, bambaŋ",4
shoulder,SHOULDER,4,0,pa,pa/paga,"onset or root, sometimes reduplicated","TK: pâu.⁵⁵_sa.⁵⁵, paŋ³³+ʔba⁴⁵; AN: pagó, papyal, pagó, abaga, paduka",3
shoulder,SHOULDER,4,0,ka/qa,ka/ʔa,syllable onset or as initial in compounds,"TK: ki.⁴²_pu.³⁵, qa.⁰_ʔba.¹¹, kan.³_wie.⁵; AN: qavan, ʔavan, afalaʔ, abaga, aɬiasa, abaxán",2
this,THIS,4,0,n,n,onset,"TK: 'nai', 'nei', 'ni', 'nəi', 'nii', 'nen'; AN: 'ni', 'nii', 'niʔan', 'ini', 'iní', 'nena', 'niŋ'",5
this,THIS,4,0,i,i,nucleus/vowel,"TK: 'nai', 'nei', 'nii', 'ni'; AN: 'ni', 'nii', 'ini', 'mini', 'iní', 'hiní', 'niʔan'",5
this,THIS,4,0,na,na,CV skeleton,"TK: 'nai', 'naːi', 'nan'; AN: 'nana', 'niʔan', 'nena', 'ina'",3
this,THIS,4,0,k,k,onset (rare),"TK: 'kai', 'kɐi'; AN: 'macki', 'tike'",2
this,THIS,4,0,nɘ/ə,ni,vocalic nucleus after n,"TK: 'nɘi', 'nəi'; AN: 'ni', 'ini', 'hini', 'mini'",3
water,WATER,4,0,n,n,onset,"TK: nam, na:m, namʔ, n.a.m; AN: nanum, nanom, nanum, a.n.u.m",5
water,WATER,4,0,a,a,vowel nucleus,"TK: nam, na:m, zam, lam, n.a.m; AN: nanum, danum, nanom, zanum, lanɨm, a.n.u.m",5
water,WATER,4,0,m,m,coda/onset or coda,"TK: nam, na:m, namʔ; AN: nanum, nanom, danum, zanum, lanɨm, a.n.u.m",5
water,WATER,4,0,l/z,l/z/d,onset alternant (non-nasal),"TK: lam, zam, lɐm, zam; AN: lanɨm, zanum, danum, dalum",3
water,WATER,4,0,ɣ/ʝ/j,∅ / y / w,"onset alternant: weak dorsal/palatal in TK, variable in AN","TK: ɣɐm, ʝɐm, jɐm; AN: waya, wai, yeʔel",2
we,WE,4,0,t,t,onset,"TK: tau, toi, tiaw; AN: ita, ito, tika, kita, tika, atamo, ʔitaʔ",5
we,WE,4,0,au/aw/ɤw,a,"main vowel, coda loss","TK: tau, lau, raw, haw, hau, lɤw, rou; AN: ita, kita, aita, sika (i.a.), tika, atamo, amo, ami",3
we,WE,4,0,k,k,onset or medial,"TK: ku, ka (in compounds like ku_ka_mɨŋ); AN: kita, sika, kika, kitá, hikitam",4
we,WE,4,0,l/r,t/d,"onset/coda alternation, possibly pronoun/root variant","TK: lau, rao, raw, rou, lɤw; AN: ito, atamo, kitá, tika, ita",2
we,WE,4,0,ŋ,m,syllable-final/coda in plurals or exclusive forms,"TK: mɨŋ (compounds like ku_ka_mɨŋ); AN: ramut, mautolu",2
we,WE,4,0,h/f,ʔ/h,onset,"TK: hau, haw, hɣau, fau, fou; AN: ʔato, ʔita, hikitam",2
dust,DUST,3,0,f/p/ph,b/p,"onset, CVC skeleton","TK: fun, fɔn, phun, puŋ — AN: bunuvun, buk, abuk, bo(k), appuk, bunuvun",4
dust,DUST,3,0,n,n,medial/coda,"TK: fun, mon, ban, phun — AN: bunuvun, abun, vovon",4
dust,DUST,3,0,u,u/o,vowel nucleus,"TK: fun, puŋ, phun — AN: bunuvun, abuk, vovok, appuk",4
dust,DUST,3,0,ŋ/k,k,coda/final,"TK: puŋ, moŋ — AN: buk, abuk, bok, appuk, vovok",3
dust,DUST,3,0,m,b,onset,"TK: mok, mon, muk, moŋ — AN: bunuvun, burabur, buqas, bok",2
fire,FIRE,3,0,f/p,p,onset,"TK: faj, fai, fei, pai, pui, pei / AN: apuy, apúy, apoi, apui, puniq, putung",4
fire,FIRE,3,0,aj/ai/ei/ui,uy/ui/oi,nucleus+C2 (rhyme),"TK: faj, fai, fei, pui / AN: apuy, apúy, apui, apoi",4
fire,FIRE,3,0,f,f,onset,"TK: fei, fəi / AN: foɾ, i.f.i",2
fire,FIRE,3,0,ph,h,aspirated onset,"TK: phaj / AN: hapuy, haˈpuj, 'hapuy",2
fire,FIRE,3,0,u,u,nucleus,"TK: pui, pu:i / AN: apuy, puniq, putung",3
i,I,3,0,k,k,onset,"TK: kau, kuu, kou, ku; AN: aku, ʔaku, ʕku, akó, yakúʔ",5
i,I,3,0,ʔ,ʔ,onset,"TK: ʔie, ʔje, ʔai, ʔju; AN: ʔako, ʔaku, ʔaˈko",4
i,I,3,0,j,y/j,onset,"TK: jau, jau, ʔje; AN: yaku, yakúʔ, j.a.k.u, yaken, yau",4
i,I,3,0,au/au,aku/aku,nucleus (vowel sequence),"TK: kʌu, kau, jau, kɔu; AN: aku, ʔaku, akó, yakúʔ",4
i,I,3,0,ai,ai/ay,nucleus,"TK: ʔai, ʁai; AN: (fewer but present in) aiku, yaken",2
i,I,3,0,h,h,"onset (some Tai, western MP & Malagasy AN)","TK: ha:, hou; AN: haʔˈku, hikan, izaho",2
lightning,LIGHTNING,3,0,l,l,onset,"TK: lap.⁸_liŋ.⁶, laːt⁷ va¹, lap.¹³; AN: lapet-, ilat, kilat, kidlat",5
lightning,LIGHTNING,3,0,p,t,coda,"TK: lap, lep, lɛp; AN: kilat, ilat, kidlat",4
lightning,LIGHTNING,3,0,a,a,nucleus,"TK: lap, laːp, fa; AN: lapet-, ilat, kilat",5
lightning,LIGHTNING,3,0,j,y,medial/onset of 2nd syllable (less robust),"TK: jap, pja; AN: yap in koli'yapyap",2
lightning,LIGHTNING,3,0,f/ph,k/g,"onset (less frequent, likely convergence or borrowing, but notable)","TK: fa:, pha:, fa:₄_ma:₆_lɛp.₈; AN: kilat, gilat (possible k~f alternation, but not robustly attested)",2
ten,TEN,3,0,s-,s-,syllable onset,"TK: sip, sup, səp; AN: sepulu(h), sapulu, sampulu",5
ten,TEN,3,0,s-,p-,syllable onset,"TK: sip, sup, səp; AN: pulu, pulò, polo",3
ten,TEN,3,0,-p,"-l, -lu, -lo",syllable coda (TK) to AN liquid/vowel coda,"TK: sip, sup, səp; AN: pulo, fulu, polo",3
ten,TEN,3,0,f-,f-,syllable onset (marginal in both),"TK: fu:t (Hlai; rare); AN: fulu, fòlo, fúlu",2
ten,TEN,3,0,"θ-, ɕ-, š-","s-, h-","onset, fricatives","TK: θep, ɕip, šip; AN: sepulu(h), huɾa",3
wing,WING,3,0,p,p,onset,"TK: pik, piik, p.iː.k, pək, pa_həu; AN: paakə, pakô, payad, palit, panid, papa:lít, pikpik, panyid",5
wing,WING,3,0,V: (long vowel),a,"nucleus, CV(C) skeleton","TK: pi:k, pìik, p.iː.k; AN: paakə, pakô, palit, pana-, payad",3
wing,WING,3,0,k / k̚,k / ʔ,coda,"TK: pik, pək, pi:k; AN: paakə, pakô, pikpik",4
wing,WING,3,0,f / phi,p,onset,"TK: fɤːt, fɯət, fuət, fɨ:t, phi:k; AN: paakə, pakô, papa:lít (variation likely from earlier p > phi / f),",2
wing,WING,3,0,Vŋ,ŋ / ŋu,coda / rhyme,"TK: vɛŋ, δia:ŋ; AN: apoŋṵ, eopúŋu, qaqahiŋ",2
and,AND,2,0,taŋ,t(o/a)ŋ,CVC skeleton,"TK: taŋ.¹¹, taŋ.², kap.taŋ.²; AN: t.o.ŋ",4
and,AND,2,0,kap,kap/kag,CVC onset-coda,"TK: kap.⁷, kap.taŋ.²; AN: kag, kap (in forms like kapisa in outside lists), kano",3
and,AND,2,0,wan,kan,Onset + Nasal coda,"TK: wan.⁴; AN: kan, kano, kan'od",3
and,AND,2,0,neːm/neɐm,nan/niqan,"N-initial, nasal coda","TK: neɐm³⁵, neːm²⁴; AN: nan, níqan",2
ash,ASH,2,0,t,ʔ/Ø/q,onset,"TK: taw, tau, tăw || AN: abu, abo, avu, qafu, ʔabu, qaßuliʔ",3
ash,ASH,2,0,aw/au/əu/ɐu,a(u)/a(o)/a(ʊ),main vowel,"TK: taw, tau, tăw, tɐu || AN: abu, abo, avu, abú",4
ash,ASH,2,0,v/f/p,b/v/f,onset or medial/2nd C,"TK: vuk, vuək, puk, fuk, piau; AN: abu, avu, qafu, wawu",4
ash,ASH,2,0,k/ʔ (coda),ʔ (coda)/Ø,coda,"TK: vuʔ, puk, vuk, pʰuk; AN: abo', ʔavuʔ, ʔabu, qaßuliʔ",3
ash,ASH,2,0,pl-,qbl-/l-,complex onset,"TK: plɛu; AN: qbulic, qbulits, laɡalap",2
belly,BELLY,2,0,t-,t-,onset of main syllable,"TK: tɔŋ²¹⁴, toŋ²¹⁴, t̪hɔɔŋ; AN: ti'áɬ, tian, tiʔɨn, təˈjan",5
belly,BELLY,2,0,p-/ph-,p-,onset of main syllable,"TK: phuŋ, phoɁ8, pok7, pɔk7; AN: p.e.r.u.t, po-kon, pusqon",4
belly,BELLY,2,0,-oŋ/-ɔŋ,-ang/-an/-an,rime (nucleus + nasal coda),"TK: tɔŋ²¹⁴, toŋ²¹⁴, mok7, loŋ²; AN: tian, 'tiang, atian, tiaθ",3
belly,BELLY,2,0,l-,b-,onset of main syllable,"TK: loŋ²; AN: baráŋ', bodek, berebewang, boko",2
beloworunder,BELOW OR UNDER,2,0,t,t,"onset (CVC, CVVC templates)","TK: taj, taɨ, tam, te, tok; AN: teku, tadu, to tibawa",4
beloworunder,BELOW OR UNDER,2,0,kha(ŋ),ka-,"onset, first syllable in disyllabic forms","TK: kha:ŋ_ta:j, kha:ŋ_tam, kha.³; AN: kamasal, kofavau",3
beloworunder,BELOW OR UNDER,2,0,l,l,"onset, disyllabic forms","TK: lum, la; AN: laʔan, la-pa, libəŋ, laʔnu",3
beloworunder,BELOW OR UNDER,2,0,m,m,syllable/mid position (nucleus/coda or initial),"TK: maŋ, tam, lum; AN: moco, ambanj, kamasal",2
beloworunder,BELOW OR UNDER,2,0,b,b(w),onset in forms for 'below',"TK: ba (in ʔba_ha:p); AN: babá, bawah, bawa, ubos",2
beloworunder,BELOW OR UNDER,2,0,ŋ,ŋ,"coda/final (CVC, nasal coda)","TK: kha:ŋ, wa:ŋ; AN: kamasal, dungan",2
bird,BIRD,2,0,n(o/u)k,n(u/o)k,"CVC skeleton, full word","TK: nok, nɔk, nuk, n̪ok, ńok, nɔ̆k (Tai, Kam-Sui); AN: manuk, ʔanuk, mamanuk, nanuk, qanok (WMP, SHWNG)",5
bird,BIRD,2,0,m-,ma-,prefix or initial syllable,"TK: mok (Kam-Sui), ma.lo (Kra), mo.naŋ (Kra), mlok (Lakkia-Biao); AN: manuk, mamanuk, mani, man (WMP, SHWNG)",4
bird,BIRD,2,0,l-,l-,word-initial (secondarily),"TK: lɔk, lok (Tai); AN: lagum, laciw (WMP)",2
bird,BIRD,2,0,-k (coda),-k (coda),coda,"TK: nok, nɔk, nuk, mok, lok (multiple clades); AN: manuk, ʔanuk, mamanuk, nanuk, qanok (WMP, SHWNG)",5
black,BLACK,2,0,d,t,"onset, CVC skeleton","TK: dam, ʔdam, dəm3; AN: itəm, itum, mity, mitom",3
black,BLACK,2,0,m,m,"coda/nucleus, after main vowel or in nasal-final forms","TK: dam, nam, lam; AN: itəm, itum, didem, mity",4
black,BLACK,2,0,n,n,"onset, only in some forms","TK: nam, nâm, nɐm; AN: mavaɨng, lumuniʡ",2
black,BLACK,2,0,a,i,"main vowel, in CVC forms","TK: dam, nam, ʔdam, lam; AN: itəm, mitom, mity",3
black,BLACK,2,0,l,l,"onset or medial, some minority forms","TK: lam, lo:k, laŋ; AN: lumuniʡ, waliŋ",2
blunt,BLUNT,2,0,mVt,ma-tVt,CVC skeleton,"TK: mɤt, mɜt, mɪt, mɐt, mot; AN: matales, matarictic",3
blunt,BLUNT,2,0,mVp,pVp,CVC skeleton,"TK: mɔːp, moːp, mup; AN: ipup, dupol, papu",2
blunt,BLUNT,2,0,ŋVm,ŋVl,nasal-initial with medial back vowel and nasal/lateral coda,"TK: ŋom, ŋɔm, ŋam; AN: ngaleh, mongalod, mangurol",2
blunt,BLUNT,2,0,təm/tap,dip/dup,"CVC skeleton, alveolar onset","TK: təm, tap; AN: dip, dupol",2
bone,BONE,2,0,d/ɗ/ʔd,t,onset,"TK: doːk, ɗuːk, ʔdoːk; AN: tul, tuŋal, tungal, tu'an",4
bone,BONE,2,0,k/g/kʔ,g/ʔ,coda,"TK: doːk, kut, laːk; AN: tungal, tuŋal, butol, bukal",3
bone,BONE,2,0,u/ɯ,u,nucleus,"TK: duːk, kuːt, rɯːk; AN: tul, buuc, butol",4
bone,BONE,2,0,l,l,coda,"TK: laːk, lak; AN: tul, bukal, tungal",2
bone,BONE,2,0,b,b,"onset, alternative roots","TK: (no clear TK b-forms, but possible linkage to AN buuc, butol, bukal); AN: buuc, butol",1
branch,BRANCH,2,0,ŋ,ŋ,onset or coda,"TK: 'ŋəi', 'ŋei', '+ŋa'; AN: 'saŋa', 'taŋa', 'sanɡa', 'sanga', 's.a.ŋ.a', 'sáŋa', 'taŋo'",4
branch,BRANCH,2,0,iŋ,iŋ,rhyme/coda,"TK: 'tiŋ', 'kiŋ', 'tsiŋ'; AN: 'ritsiŋ', 'pising', 'salinsíng', 'lelaŋ'",3
branch,BRANCH,2,0,ts,s,onset,"TK: 'tsiŋ', 'tsəŋ'; AN: 'sanga', 'saŋa', 's.a.ŋ.a', 'sida', 'sida', 'sangaʔ'",3
branch,BRANCH,2,0,k/ki,ka/ka,onset and nucleus,"TK: 'kiŋ', 'këi'; AN: 'palaka', 'sapak', 'plaka'",2
chew,CHEW,2,0,ń/ɲ/ȵ,m,onset,"TK: ńa:i, ȵɐm, ȵaːi; AN: mam, mamam, mama, mama'ʔin",3
chew,CHEW,2,0,a:i/aːi,aCa/aCaC/aCaʔ,vowel and following segment(s),"TK: ńa:i, ɲaːi; AN: mama, mamam, mapapaq, mama'ʔin",3
chew,CHEW,2,0,k/kh,k/p,onset or coda,"TK: kiaw, khiau, keu, mha:k; AN: makusaʔəsaʔəmə, m.a.p.a.p.a.k, mapapaq, papaq",2
chew,CHEW,2,0,ŋ,"ŋ, ng or n",coda or onset,"TK: ŋau, ńa:ŋ, ńa:n; AN: moŋindaan, mamaing, usangon",2
child,CHILD,2,0,l,l,initial onset,"TK: lɤk, lɯk; AN: laqi, laʡi, laqihán, walak",5
child,CHILD,2,0,l,w,initial onset alternation,"TK: lɤk; AN: wawaʔ, walaʔo, walak, wata'",2
child,CHILD,2,0,k (coda),k/q/ʔ (coda),final coda,"TK: lɤk, lɯk; AN: laqi, laqihán, walak, anak, anaʔ",4
child,CHILD,2,0,ŋj-/ŋV-,ng,syllable/final cluster or reduplicated child forms,"TK: lɤk+ŋje, lɯk+ŋje, lək+ŋje; AN: budang, abeng, ʔungʔungnga",2
child,CHILD,2,0,lɤ-/lɯ-,"la-, wa-, a-",word onset; CVC/CV structures,"TK: lɤk, lɯk; AN: laqi, walak, anak, awa(w)",3
choose,CHOOSE,2,0,l,l,onset (medial in AN); onset in TK,"TK: lɨak, lək, la:i; AN: pili, piliʔ, pilin, pilian",5
choose,CHOOSE,2,0,k,ʔ,coda,"TK: lɨak, lək, lik; AN: piliʔ, pɨliʔ, píliʔ",3
choose,CHOOSE,2,0,V,i,vowel nucleus,"TK: lək, lek; AN: pili, pilin, pilian",4
choose,CHOOSE,2,0,n,n,coda,"TK: ceːn, seːn, θɛn; AN: pilin, pilien, pilian",4
choose,CHOOSE,2,0,s,p,"onset (less consistent, possible AN causative prefix p-)","TK: suən, swe:n, siːn; AN: pili, pamili, puli, pənili",2
climb,CLIMB,2,0,p/k,k,"onset, CVC root","TK: ka:n, khɨn, pən, peːn; AN: kalat, kudadaʔ, ka'ʔab, kayat",3
climb,CLIMB,2,0,n,n,coda or syllable-final,"TK: pən, pin, ka:n; AN: manakis, manakiʃ, ponik, pɨmɨnahik",3
climb,CLIMB,2,0,m/p,m,"prefix or root-initial, frequent nasalization in both families","TK: me:n, pa:i, pwa, mə:; AN: manakis, muiʈas, mo-botulo, mkaro",2
climb,CLIMB,2,0,a,a,"main vowel, lexical root","TK: ka:n, pa:i, laːn; AN: kalat, saka, manakis",3
climb,CLIMB,2,0,ch/č,k/s,"root medial, possible palatalization or fortition in TK, velar/sibilant in AN","TK: cha, ćha; AN: saka, sakà, kayat",2
cloud,CLOUD,2,0,m-/ma-,"mu-/ma-/lu-, ru-","onset, CV- skeleton","TK: 'mêek', 'meek', 'me:k', 'mɔk', 'mok'; AN: 'malukut', 'lu:luŋa', 'LuLem', 'ruluŋ', 'runə́v', 'rum'",3
cloud,CLOUD,2,0,fa-/pha-,"pa-/fa-, ba-",onset,"TK: 'fa', 'fha', 'pha', 'faʔ', 'pha45'; AN: 'paŋá:nud', 'plabu', 'panganud', 'búnot', 'binaβa'",3
cloud,CLOUD,2,0,"lu, lun","lu-, ru-",onset (CVC forms),"TK: 'lu.', 'lun.', 'lu.⁴²'; AN: 'lu:luŋa', 'ruluŋ', 'LuLem', 'runə́v', 'yuluŋ'",4
cloud,CLOUD,2,0,-k (coda),"-m, -ŋ, -n (coda)",final,"TK: 'mɔk', 'la.mok', 'muk', 'de:k', 'meek'; AN: 'rom', 'kuləm', 'LuLem', 'luŋ', 'runə́v', 'kum', 'ruŋ'",2
cloud,CLOUD,2,0,bun/bən,bun/bon,"CVC, full syllable","TK: 'ʔbun', 'bən'; AN: 'bunot', 'ambun', 'labon'",3
cloud,CLOUD,2,0,kwa-/hwa-,ku-/hu-,onset,"TK: 'kwa', 'hwa'; AN: 'kuʈem', 'kuləm', 'hamhum', 'hum'",2
come,COME,2,0,maː,ma-,word onset; whole stem,"TK: ma:.¹, maa, m.aː (Tai); AN: maŋay, mayi, magabót, ma-ŋetjez (W.MP, Formosan)",4
come,COME,2,0,taŋ/tau,taŋ/tay,CVC/CVVC skeleton; stem,"TK: taŋ¹, tau³⁴³, taŋ.², ta:u.⁵ (Kam-Sui, Tai); AN: datang, mayi, mangay (W.MP)",2
come,COME,2,0,luŋ,lu-,word onset,"TK: luŋ.³¹ (Kra); AN: luðaʔ (Formosan), alu (Formosan)",2
come,COME,2,0,mɯn/pɯn,mun/mon,"CVC stem, nucleus & coda","TK: mɯ:n1, pɯ:n1 (Hlai); AN: m.u.n.a.j, m.o.n.d.o.k (Formosan, W.MP)",2
come,COME,2,0,pɯn,ban-,onset; possible labial mapping,"TK: pɯ:n1, phɯ:n4 (Hlai); AN: bainin (Formosan)",2
come,COME,2,0,rama,rama,whole word; reduplicated,"TK: (none direct); AN: rama, jaɾama, ɾama (Shwng)",1
cooksomething,COOK (SOMETHING),2,0,tuŋ / tum / tom / du,lutu / duto / loto / muta(l) / duto / lotoq,root onset and nucleus (CVC structure),"TK: tuŋ¹ (Kam-Sui), tom³ (Tai), tum³ (Tai), ʔdu³¹ (Kra); AN: lutuin, duto, lotoq, lut(u), maluto",4
cooksomething,COOK (SOMETHING),2,0,luŋ / lu,lu(to/in),onset + nucleus,"TK: luŋ¹ (Tai), ljoŋ¹ (Kam-Sui); AN: lutuin, ilútu, maluto, aglu:to",3
cooksomething,COOK (SOMETHING),2,0,huŋ / hjuŋ,hu(tu) / ha(nat) / húa(t),onset 'h' in CV(C) syllables,"TK: huŋ³ (Tai), hjuŋ¹ (Kam-Sui); AN: mahúʔil, mahanat, maŋuát",2
cooksomething,COOK (SOMETHING),2,0,saːu / śau / śuŋ,su(nʔad),sibilant onset in CCV/CSV; rare,"TK: śau³⁵ (Kra), saːu³ (Kam-Sui), śuŋ¹ (Kam-Sui); AN: súnʔad",1
cooksomething,COOK (SOMETHING),2,0,tam / tham,tama,bilabial/laminal 't-m' root,"TK: tam² (Tai), tham¹ (Tai); AN: fatama",1
correctright,CORRECT (RIGHT),2,0,t,t,onset initial,"tai to:i, tɔːi; western_mp tapat, tut'tuwa; formosan tama",4
correctright,CORRECT (RIGHT),2,0,m,m,onset (esp. prefixed),"tai mɛn, mɛ:n, kra məi; formosan ma-tama, western_mp man-jary, minatuód",3
correctright,CORRECT (RIGHT),2,0,ŋ,ŋ,coda or medial,"tai teːŋ, teaŋ, tɪːŋ; formosan maylaʔoz, western_mp meraŋ, shwng molaŋ",3
correctright,CORRECT (RIGHT),2,0,th,t,aspirated onset vs. plain; both 'correct' senses,"tai thuk/thùuk/thu:k; an tapat, tut'tuwa",2
correctright,CORRECT (RIGHT),2,0,d,d,onset/non-initial,"kam_sui ʔda:u, hlai diu, formosan dadu, modudug",2
cry,CRY,2,0,ŋ,ŋ,"onset, medials (CVC/CVŋ)","TK: hɔ:ŋ, bɔ:ŋ, rɔ:ŋ, ŋai; AN: taŋis, tumaŋi, hömaŋih",5
